Time; Photovoltaics_South;Gas_plant_South
01.01.2019 00:00;0,00;0,00
01.01.2019 01:00;0,00;4877,40
01.01.2019 02:00;0,00;4646,99
01.01.2019 03:00;0,00;4360,35
01.01.2019 04:00;0,00;4098,60
01.01.2019 05:00;0,00;3836,85
01.01.2019 06:00;0,00;3720,72
01.01.2019 07:00;0,00;3643,30
01.01.2019 08:00;60,27;3549,85
01.01.2019 09:00;792,69;2731,72
01.01.2019 10:00;2343,91;1083,73
01.01.2019 11:00;3364,81;370,66
01.01.2019 12:00;3779,80;297,60
01.01.2019 13:00;3919,90;487,46
01.01.2019 14:00;3863,96;587,63
01.01.2019 15:00;3582,57;613,73
01.01.2019 16:00;2749,76;1345,16
01.01.2019 17:00;1187,53;2856,69
01.01.2019 18:00;173,66;3983,93
01.01.2019 19:00;4,75;5075,42
01.01.2019 20:00;0,00;5368,64
01.01.2019 21:00;0,00;5477,40
01.01.2019 22:00;0,00;5529,93
01.01.2019 23:00;0,00;5475,55
02.01.2019 00:00;0,00;5224,86
02.01.2019 01:00;0,00;4693,07
02.01.2019 02:00;0,00;4303,21
02.01.2019 03:00;0,00;3989,85
02.01.2019 04:00;0,00;3811,97
02.01.2019 05:00;0,00;3731,78
02.01.2019 06:00;0,00;3714,27
02.01.2019 07:00;0,00;3827,63
02.01.2019 08:00;61,81;4081,04
02.01.2019 09:00;798,52;3912,98
02.01.2019 10:00;2351,60;3135,94
02.01.2019 11:00;3363,09;2686,66
02.01.2019 12:00;3768,12;2502,82
02.01.2019 13:00;3907,13;2464,27
02.01.2019 14:00;3870,26;2134,32
02.01.2019 15:00;3601,35;2474,20
02.01.2019 16:00;2798,08;3368,72
02.01.2019 17:00;1259,78;4825,91
02.01.2019 18:00;197,33;5993,43
02.01.2019 19:00;5,24;6944,04
02.01.2019 20:00;0,00;7248,82
02.01.2019 21:00;0,00;7174,17
02.01.2019 22:00;0,00;7003,66
02.01.2019 23:00;0,00;6697,67
03.01.2019 00:00;0,00;6387,99
03.01.2019 01:00;0,00;5597,21
03.01.2019 02:00;0,00;4916,11
03.01.2019 03:00;0,00;4581,55
03.01.2019 04:00;0,00;4384,31
03.01.2019 05:00;0,00;4327,17
03.01.2019 06:00;0,00;4314,27
03.01.2019 07:00;0,00;4415,65
03.01.2019 08:00;58,12;4740,02
03.01.2019 09:00;782,58;4794,36
03.01.2019 10:00;2324,75;4065,09
03.01.2019 11:00;3345,73;3402,63
03.01.2019 12:00;3753,84;3100,52
03.01.2019 13:00;3895,25;2941,59
03.01.2019 14:00;3854,60;2547,22
03.01.2019 15:00;3594,89;2945,17
03.01.2019 16:00;2813,47;3893,41
03.01.2019 17:00;1299,12;5374,59
03.01.2019 18:00;209,31;6518,78
03.01.2019 19:00;5,89;7395,93
03.01.2019 20:00;0,00;7603,66
03.01.2019 21:00;0,00;7593,52
03.01.2019 22:00;0,00;7383,38
03.01.2019 23:00;0,00;7034,07
04.01.2019 00:00;0,00;6634,08
04.01.2019 01:00;0,00;5809,19
04.01.2019 02:00;0,00;5179,70
04.01.2019 03:00;0,00;4771,41
04.01.2019 04:00;0,00;4573,25
04.01.2019 05:00;0,00;4495,83
04.01.2019 06:00;0,00;4422,10
04.01.2019 07:00;0,00;4480,17
04.01.2019 08:00;58,81;4891,40
04.01.2019 09:00;778,68;4995,49
04.01.2019 10:00;2305,40;4216,24
04.01.2019 11:00;3330,62;3579,03
04.01.2019 12:00;3739,14;3303,23
04.01.2019 13:00;3890,61;3200,61
04.01.2019 14:00;3862,43;2732,02
04.01.2019 15:00;3608,11;3134,73
04.01.2019 16:00;2826,70;3994,47
04.01.2019 17:00;1310,30;5521,01
04.01.2019 18:00;221,93;6740,25
04.01.2019 19:00;6,76;7477,09
04.01.2019 20:00;0,00;7653,43
04.01.2019 21:00;0,00;7631,31
04.01.2019 22:00;0,00;7429,46
04.01.2019 23:00;0,00;7093,98
05.01.2019 00:00;0,00;6722,55
05.01.2019 01:00;0,00;5831,31
05.01.2019 02:00;0,00;5235,92
05.01.2019 03:00;0,00;4870,03
05.01.2019 04:00;0,00;4644,22
05.01.2019 05:00;0,00;4538,23
05.01.2019 06:00;0,00;4461,73
05.01.2019 07:00;0,00;4587,08
05.01.2019 08:00;52,36;4919,97
05.01.2019 09:00;720,63;5029,58
05.01.2019 10:00;2236,63;4274,86
05.01.2019 11:00;3284,70;3540,16
05.01.2019 12:00;3729,97;3179,68
05.01.2019 13:00;3857,35;3083,64
05.01.2019 14:00;3815,37;2608,57
05.01.2019 15:00;3548,93;2960,72
05.01.2019 16:00;2777,37;3809,71
05.01.2019 17:00;1296,84;5187,01
05.01.2019 18:00;235,92;6214,74
05.01.2019 19:00;7,47;7060,71
05.01.2019 20:00;0,00;7293,98
05.01.2019 21:00;0,00;7278,31
05.01.2019 22:00;0,00;7022,09
