Production per timestep in MWh, Photovoltaics_Mid,Gas_plant_Mid,Photovoltaics_South,Gas_plant_South,Photovoltaics_North,Gas_plant_North
2019-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00
2019-01-01 01:00:00,0.00,43102.49,0.00,4877.40,0.00,11001.19
2019-01-01 02:00:00,0.00,41692.00,0.00,4646.99,0.00,10769.38
2019-01-01 03:00:00,0.00,40592.82,0.00,4360.35,0.00,10637.34
2019-01-01 04:00:00,0.00,40218.10,0.00,4098.60,0.00,10584.82
2019-01-01 05:00:00,0.00,39606.06,0.00,3836.85,0.00,10653.84
2019-01-01 06:00:00,0.00,37483.60,0.00,3720.72,0.00,10987.69
2019-01-01 07:00:00,0.00,37678.65,0.00,3643.30,0.00,11253.27
2019-01-01 08:00:00,0.00,38082.19,60.27,3549.85,0.00,11371.05
2019-01-01 09:00:00,235.25,39738.80,792.68,2731.72,0.00,11440.07
2019-01-01 10:00:00,1324.34,41005.65,2343.91,1083.73,1.97,11774.20
2019-01-01 11:00:00,1831.63,43548.01,3364.81,370.66,18.72,12114.55
2019-01-01 12:00:00,2125.90,44266.45,3779.80,297.60,38.42,12333.42
2019-01-01 13:00:00,2510.26,44088.67,3919.90,487.46,44.33,12482.80
2019-01-01 14:00:00,1891.40,43911.01,3863.96,587.63,26.60,12696.34
2019-01-01 15:00:00,895.45,44879.08,3582.57,613.73,0.98,13211.10
2019-01-01 16:00:00,37.10,48060.70,2749.76,1345.16,0.00,13542.93
2019-01-01 17:00:00,0.00,52560.83,1187.53,2856.69,0.00,13572.19
2019-01-01 18:00:00,0.00,53885.80,173.66,3983.93,0.00,13437.15
2019-01-01 19:00:00,0.00,53289.13,4.75,5075.42,0.00,13200.08
2019-01-01 20:00:00,0.00,51142.65,0.00,5368.64,0.00,12928.50
2019-01-01 21:00:00,0.00,50796.75,0.00,5477.40,0.00,12491.12
2019-01-01 22:00:00,0.00,51205.11,0.00,5529.93,0.00,12084.51
2019-01-01 23:00:00,0.00,47946.96,0.00,5475.55,0.00,11586.36
2019-01-02 00:00:00,0.00,44986.66,0.00,5224.86,0.00,11222.51
2019-01-02 01:00:00,0.00,42641.29,0.00,4693.07,0.00,11049.21
2019-01-02 02:00:00,0.00,41620.90,0.00,4303.21,0.00,10956.18
2019-01-02 03:00:00,0.00,41525.78,0.00,3989.85,0.00,10958.43
2019-01-02 04:00:00,0.00,41841.89,0.00,3811.97,0.00,11154.24
2019-01-02 05:00:00,0.00,43825.03,0.00,3731.78,0.00,11724.40
2019-01-02 06:00:00,0.00,48708.89,0.00,3714.27,0.00,13035.78
2019-01-02 07:00:00,0.00,54815.88,0.00,3827.63,0.00,14285.65
2019-01-02 08:00:00,0.00,58782.15,61.80,4081.04,0.00,14849.06
2019-01-02 09:00:00,1106.83,59730.52,798.52,3912.98,0.00,14930.08
2019-01-02 10:00:00,2297.00,60296.73,2351.60,3135.93,52.21,15041.42
2019-01-02 11:00:00,2763.72,61855.43,3363.09,2686.66,130.04,15072.37
2019-01-02 12:00:00,2970.71,61872.30,3768.12,2502.82,171.42,14945.47
2019-01-02 13:00:00,2347.97,61890.69,3907.13,2464.27,186.19,14907.44
2019-01-02 14:00:00,1669.12,61981.52,3870.26,2134.32,105.41,15036.23
2019-01-02 15:00:00,842.52,62262.37,3601.35,2474.20,7.88,15627.40
2019-01-02 16:00:00,12.29,64593.40,2798.08,3368.72,0.00,15924.87
2019-01-02 17:00:00,0.00,66920.32,1259.78,4825.91,0.00,15942.88
2019-01-02 18:00:00,0.00,66566.73,197.33,5993.43,0.00,15703.56
2019-01-02 19:00:00,0.00,64395.27,5.24,6944.04,0.00,15359.96
2019-01-02 20:00:00,0.00,60880.59,0.00,7248.82,0.00,14834.80
2019-01-02 21:00:00,0.00,59128.05,0.00,7174.16,0.00,14230.13
2019-01-02 22:00:00,0.00,58004.85,0.00,7003.66,0.00,13585.69
2019-01-02 23:00:00,0.00,53479.37,0.00,6697.67,0.00,12808.47
2019-01-03 00:00:00,0.00,49534.24,0.00,6387.99,0.00,12219.55
2019-01-03 01:00:00,0.00,47558.78,0.00,5597.21,0.00,11957.72
2019-01-03 02:00:00,0.00,46482.66,0.00,4916.11,0.00,11926.21
2019-01-03 03:00:00,0.00,46549.92,0.00,4581.55,0.00,11968.97
2019-01-03 04:00:00,0.00,47392.56,0.00,4384.31,0.00,12152.78
2019-01-03 05:00:00,0.00,49123.96,0.00,4327.17,0.00,12638.92
2019-01-03 06:00:00,0.00,52818.33,0.00,4314.27,0.00,13928.54
2019-01-03 07:00:00,0.00,58345.94,0.00,4415.65,0.00,15125.89
2019-01-03 08:00:00,0.00,61551.24,58.12,4740.02,0.00,15522.00
2019-01-03 09:00:00,580.65,62164.89,782.58,4794.36,0.00,15574.52
2019-01-03 10:00:00,2137.20,61882.40,2324.75,4065.09,49.26,15619.79
2019-01-03 11:00:00,3137.27,62271.67,3345.73,3402.63,90.63,15553.65
2019-01-03 12:00:00,3517.55,61644.46,3753.84,3100.52,96.55,15411.20
2019-01-03 13:00:00,4699.48,59852.41,3895.25,2941.59,75.86,15399.63
2019-01-03 14:00:00,3424.87,60331.46,3854.60,2547.22,26.60,15576.43
2019-01-03 15:00:00,1612.65,61535.47,3594.89,2945.17,0.98,16152.70
2019-01-03 16:00:00,333.16,64581.92,2813.47,3893.41,0.00,16501.04
2019-01-03 17:00:00,0.00,67994.51,1299.12,5374.59,0.00,16492.78
2019-01-03 18:00:00,0.00,67590.01,209.31,6518.78,0.00,16190.45
2019-01-03 19:00:00,0.00,65815.37,5.89,7395.93,0.00,15807.09
2019-01-03 20:00:00,0.00,62664.83,0.00,7603.66,0.00,15248.17
2019-01-03 21:00:00,0.00,60686.50,0.00,7593.52,0.00,14557.97
2019-01-03 22:00:00,0.00,59676.68,0.00,7383.38,0.00,13774.00
2019-01-03 23:00:00,0.00,55204.05,0.00,7034.07,0.00,12954.01
2019-01-04 00:00:00,0.00,50770.81,0.00,6634.07,0.00,12353.08
2019-01-04 01:00:00,0.00,48624.34,0.00,5809.19,0.00,12104.76
2019-01-04 02:00:00,0.00,47705.79,0.00,5179.70,0.00,11938.21
2019-01-04 03:00:00,0.00,47996.92,0.00,4771.41,0.00,11785.92
2019-01-04 04:00:00,0.00,48779.03,0.00,4573.25,0.00,11849.69
2019-01-04 05:00:00,0.00,50507.55,0.00,4495.83,0.00,12355.34
2019-01-04 06:00:00,0.00,54645.81,0.00,4422.10,0.00,13390.64
2019-01-04 07:00:00,0.00,60432.84,0.00,4480.17,0.00,14438.69
2019-01-04 08:00:00,0.00,64002.30,58.81,4891.40,0.00,14903.82
2019-01-04 09:00:00,507.61,64768.74,778.68,4995.49,0.00,14918.08
2019-01-04 10:00:00,1244.77,65293.14,2305.40,4216.24,0.98,15023.62
2019-01-04 11:00:00,1830.34,66367.87,3330.62,3579.03,10.84,15043.03
2019-01-04 12:00:00,2169.21,65678.30,3739.14,3303.23,19.70,15049.92
2019-01-04 13:00:00,1806.80,65095.26,3890.61,3200.61,34.48,15071.15
2019-01-04 14:00:00,1212.95,64472.71,3862.43,2732.01,12.81,15209.86
2019-01-04 15:00:00,542.05,64905.32,3608.11,3134.72,0.00,15584.27
2019-01-04 16:00:00,6.50,66619.80,2826.70,3994.47,0.00,15630.03
2019-01-04 17:00:00,0.00,69349.27,1310.30,5521.01,0.00,15554.26
2019-01-04 18:00:00,0.00,69207.07,221.93,6740.25,0.00,15250.42
2019-01-04 19:00:00,0.00,67245.07,6.76,7477.09,0.00,14840.81
2019-01-04 20:00:00,0.00,63883.16,0.00,7653.43,0.00,14382.42
2019-01-04 21:00:00,0.00,61902.90,0.00,7631.31,0.00,13741.74
2019-01-04 22:00:00,0.00,60356.94,0.00,7429.46,0.00,12931.50
2019-01-04 23:00:00,0.00,55965.98,0.00,7093.98,0.00,12161.03
2019-01-05 00:00:00,0.00,52349.44,0.00,6722.55,0.00,11617.87
2019-01-05 01:00:00,0.00,49994.47,0.00,5831.31,0.00,11375.55
2019-01-05 02:00:00,0.00,48849.17,0.00,5235.92,0.00,11230.01
2019-01-05 03:00:00,0.00,48658.93,0.00,4870.03,0.00,11271.27
2019-01-05 04:00:00,0.00,49517.90,0.00,4644.22,0.00,11479.83
2019-01-05 05:00:00,0.00,51396.31,0.00,4538.23,0.00,12013.24
2019-01-05 06:00:00,0.00,54729.40,0.00,4461.73,0.00,13224.84
2019-01-05 07:00:00,0.00,60357.90,0.00,4587.08,0.00,14417.68
2019-01-05 08:00:00,0.00,63548.79,52.36,4919.97,0.00,14892.57
2019-01-05 09:00:00,226.27,64487.04,720.63,5029.58,0.00,14938.33
2019-01-05 10:00:00,1203.13,64932.19,2236.63,4274.86,79.80,15081.35
2019-01-05 11:00:00,2045.70,65361.75,3284.70,3540.16,157.62,15002.77
2019-01-05 12:00:00,2578.01,64513.33,3729.97,3179.68,167.48,14792.61
2019-01-05 13:00:00,2902.21,62529.79,3857.35,3083.64,83.74,14658.04
2019-01-05 14:00:00,2025.60,61770.12,3815.37,2608.57,27.58,14633.17
2019-01-05 15:00:00,870.44,62355.51,3548.93,2960.72,1.97,15087.91
2019-01-05 16:00:00,18.79,64965.47,2777.37,3809.70,0.00,15501.75
2019-01-05 17:00:00,0.00,67436.28,1296.84,5187.01,0.00,15567.02
2019-01-05 18:00:00,0.00,66710.86,235.92,6214.74,0.00,15164.90
2019-01-05 19:00:00,0.00,64135.85,7.47,7060.71,0.00,14637.50
2019-01-05 20:00:00,0.00,60308.90,0.00,7293.98,0.00,14107.09
2019-01-05 21:00:00,0.00,58096.12,0.00,7278.31,0.00,13486.66
2019-01-05 22:00:00,0.00,57226.58,0.00,7022.09,0.00,12981.02
2019-01-05 23:00:00,0.00,53131.55,0.00,6733.61,0.00,12364.34
2019-01-06 00:00:00,0.00,49137.41,0.00,6457.12,0.00,11890.95
