Production per timestep in MWh, Photovoltaics_Mid,converter_Pump_storage_Mid,Gas_plant_Mid,Photovoltaics_South,converter_Pump_storage_South,Gas_plant_South,Photovoltaics_North,converter_Pump_storage_North,Gas_plant_North,Pump_storage_Mid,Pump_storage_South,Pump_storage_North
2019-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019-01-01 01:00:00,0.00,0.00,43102.49,0.00,0.00,4877.40,0.00,0.00,11001.19,0.00,0.00,0.00
2019-01-01 02:00:00,0.00,0.00,41692.00,0.00,0.00,4646.99,0.00,0.00,10769.38,0.00,0.00,0.00
2019-01-01 03:00:00,0.00,0.00,40592.82,0.00,0.00,4360.35,0.00,0.00,10637.34,0.00,0.00,0.00
2019-01-01 04:00:00,0.00,0.00,40218.10,0.00,0.00,4098.60,0.00,0.00,10584.82,0.00,0.00,0.00
2019-01-01 05:00:00,0.00,0.00,39606.06,0.00,0.00,3836.85,0.00,0.00,10653.84,0.00,0.00,0.00
2019-01-01 06:00:00,0.00,0.00,37483.60,0.00,0.00,3720.72,0.00,0.00,10987.69,0.00,0.00,0.00
2019-01-01 07:00:00,0.00,0.00,37678.65,0.00,0.00,3643.30,0.00,0.00,11253.27,0.00,0.00,0.00
2019-01-01 08:00:00,0.00,0.00,38082.19,60.27,0.00,3549.85,0.00,0.00,11371.05,0.00,0.00,0.00
2019-01-01 09:00:00,235.25,0.00,39738.80,792.68,0.00,2731.72,0.00,0.00,11440.07,0.00,0.00,0.00
2019-01-01 10:00:00,1324.34,0.00,41005.65,2343.91,0.00,1083.73,1.97,0.00,11774.20,0.00,0.00,0.00
2019-01-01 11:00:00,1831.63,0.00,43548.01,3364.81,0.00,370.66,18.72,0.00,12114.55,0.00,0.00,0.00
2019-01-01 12:00:00,2125.90,0.00,44266.45,3779.80,0.00,297.60,38.42,0.00,12333.42,0.00,0.00,0.00
2019-01-01 13:00:00,2510.26,0.00,44088.67,3919.90,0.00,487.46,44.33,0.00,12482.80,0.00,0.00,0.00
2019-01-01 14:00:00,1891.40,0.00,43911.01,3863.96,0.00,587.63,26.60,0.00,12696.34,0.00,0.00,0.00
2019-01-01 15:00:00,895.45,0.00,44879.08,3582.57,0.00,613.73,0.98,0.00,13211.10,0.00,0.00,0.00
2019-01-01 16:00:00,37.10,0.00,48060.70,2749.76,0.00,1345.16,0.00,0.00,13542.93,0.00,0.00,0.00
2019-01-01 17:00:00,0.00,0.00,52560.83,1187.53,0.00,2856.69,0.00,0.00,13572.19,0.00,0.00,0.00
2019-01-01 18:00:00,0.00,0.00,53885.80,173.66,0.00,3983.93,0.00,0.00,13437.15,0.00,0.00,0.00
2019-01-01 19:00:00,0.00,0.00,53289.13,4.75,0.00,5075.42,0.00,0.00,13200.08,0.00,0.00,0.00
2019-01-01 20:00:00,0.00,0.00,51142.65,0.00,0.00,5368.64,0.00,0.00,12928.50,0.00,0.00,0.00
2019-01-01 21:00:00,0.00,0.00,50796.75,0.00,0.00,5477.40,0.00,0.00,12491.12,0.00,0.00,0.00
