", South, South, Mid, Mid, Noorth, North"
"Timestep, Gas, PV, Gas, PV, Gas, PV "
1.00,4877.00,0.00,43102.00,0.00,11001.00,0.00
2.00,4647.00,0.00,41692.00,0.00,10769.00,0.00
3.00,4360.00,0.00,40593.00,0.00,10637.00,0.00
4.00,4099.00,0.00,40218.00,0.00,10585.00,0.00
5.00,3837.00,0.00,39606.00,0.00,10654.00,0.00
6.00,3721.00,0.00,37484.00,0.00,10988.00,0.00
7.00,3643.00,0.00,37679.00,0.00,11253.00,0.00
8.00,3550.00,60.00,38082.00,0.00,11371.00,0.00
9.00,2731.40,792.60,39739.00,235.00,11440.00,0.00
10.00,1083.80,2344.20,41005.00,1325.00,11774.00,2.00
11.00,370.20,3364.80,43550.00,1830.00,12114.20,18.80
12.00,297.00,3780.00,44267.00,2125.00,12333.60,38.40
13.00,487.20,3919.80,44089.00,2510.00,12482.60,44.40
14.00,588.00,3864.00,43912.00,1890.00,12696.60,26.40
15.00,613.40,3582.60,44880.00,895.00,13211.20,0.80
16.00,1345.20,2749.80,48063.00,35.00,13543.00,0.00
17.00,2856.60,1187.40,52561.00,0.00,13572.00,0.00
18.00,3984.60,173.40,53886.00,0.00,13437.00,0.00
19.00,5075.20,4.80,53289.00,0.00,13200.00,0.00
20.00,5369.00,0.00,51143.00,0.00,12929.00,0.00
21.00,5477.00,0.00,50797.00,0.00,12491.00,0.00
22.00,5530.00,0.00,51205.00,0.00,12085.00,0.00
23.00,5476.00,0.00,47947.00,0.00,11586.00,0.00
24.00,5225.00,0.00,44987.00,0.00,11223.00,0.00
25.00,4693.00,0.00,42641.00,0.00,11049.00,0.00
26.00,4303.00,0.00,41621.00,0.00,10956.00,0.00
27.00,3990.00,0.00,41526.00,0.00,10958.00,0.00
28.00,3812.00,0.00,41842.00,0.00,11154.00,0.00
29.00,3732.00,0.00,43825.00,0.00,11724.00,0.00
30.00,3714.00,0.00,48709.00,0.00,13036.00,0.00
31.00,3828.00,0.00,54816.00,0.00,14286.00,0.00
32.00,4081.20,61.80,58782.00,0.00,14849.00,0.00
33.00,3913.40,798.60,59732.00,1105.00,14930.00,0.00
34.00,3136.60,2351.40,60299.00,2295.00,15041.60,52.40
35.00,2687.00,3363.00,61854.00,2765.00,15072.00,130.00
36.00,2503.00,3768.00,61873.00,2970.00,14945.40,171.60
37.00,2463.80,3907.20,61889.00,2350.00,14908.00,186.00
38.00,2135.00,3870.00,61981.00,1670.00,15036.40,105.60
39.00,2474.80,3601.20,62260.00,845.00,15627.00,8.00
40.00,3369.20,2797.80,64596.00,10.00,15925.00,0.00
41.00,4826.00,1260.00,66920.00,0.00,15943.00,0.00
42.00,5993.60,197.40,66567.00,0.00,15704.00,0.00
