",South,South,South,Mid,Mid,Mid,North,North,North"
"Timestep,Gas,PV,PHS,Gas,PV,PHS,Gas,PV,PHS"
1.00,4877.00,0.00,0.00,43102.00,0.00,0.00,11001.00,0.00,0.00
2.00,4647.00,0.00,0.00,41692.00,0.00,0.00,10769.00,0.00,0.00
3.00,4360.00,0.00,0.00,40593.00,0.00,0.00,10637.00,0.00,0.00
4.00,4099.00,0.00,0.00,40218.00,0.00,0.00,10585.00,0.00,0.00
5.00,3837.00,0.00,0.00,39606.00,0.00,0.00,10654.00,0.00,0.00
6.00,3721.00,0.00,0.00,37484.00,0.00,0.00,10988.00,0.00,0.00
7.00,3643.00,0.00,0.00,37679.00,0.00,0.00,11253.00,0.00,0.00
8.00,3550.00,60.00,0.00,38082.00,0.00,0.00,11371.00,0.00,0.00
9.00,2731.40,792.60,0.00,39739.00,235.00,0.00,11440.00,0.00,0.00
10.00,1083.80,2344.20,0.00,41005.00,1325.00,0.00,11774.00,2.00,0.00
11.00,370.20,3364.80,0.00,43550.00,1830.00,0.00,12114.20,18.80,0.00
12.00,297.00,3780.00,0.00,44267.00,2125.00,0.00,12333.60,38.40,0.00
13.00,487.20,3919.80,0.00,44089.00,2510.00,0.00,12482.60,44.40,0.00
14.00,588.00,3864.00,0.00,43912.00,1890.00,0.00,12696.60,26.40,0.00
15.00,613.40,3582.60,0.00,44880.00,895.00,0.00,13211.20,0.80,0.00
16.00,1345.20,2749.80,0.00,48063.00,35.00,0.00,13543.00,0.00,0.00
17.00,2856.60,1187.40,0.00,52561.00,0.00,0.00,13572.00,0.00,0.00
18.00,3984.60,173.40,0.00,53886.00,0.00,0.00,13437.00,0.00,0.00
19.00,5075.20,4.80,0.00,53289.00,0.00,0.00,13200.00,0.00,0.00
20.00,5369.00,0.00,0.00,51143.00,0.00,0.00,12929.00,0.00,0.00
21.00,5477.00,0.00,0.00,50797.00,0.00,0.00,12491.00,0.00,0.00
22.00,5530.00,0.00,0.00,51205.00,0.00,0.00,12085.00,0.00,0.00
23.00,5476.00,0.00,0.00,47947.00,0.00,0.00,11586.00,0.00,0.00
24.00,5225.00,0.00,0.00,44987.00,0.00,0.00,11223.00,0.00,0.00
25.00,4693.00,0.00,0.00,42641.00,0.00,0.00,11049.00,0.00,0.00
26.00,4303.00,0.00,0.00,41621.00,0.00,0.00,10956.00,0.00,0.00
27.00,3990.00,0.00,0.00,41526.00,0.00,0.00,10958.00,0.00,0.00
28.00,3812.00,0.00,0.00,41842.00,0.00,0.00,11154.00,0.00,0.00
29.00,3732.00,0.00,0.00,43825.00,0.00,0.00,11724.00,0.00,0.00
30.00,3714.00,0.00,0.00,48709.00,0.00,0.00,13036.00,0.00,0.00
31.00,3828.00,0.00,0.00,54816.00,0.00,0.00,14286.00,0.00,0.00
32.00,4081.20,61.80,0.00,58782.00,0.00,0.00,14849.00,0.00,0.00
33.00,3913.40,798.60,0.00,59732.00,1105.00,0.00,14930.00,0.00,0.00
34.00,3136.60,2351.40,0.00,60299.00,2295.00,0.00,15041.60,52.40,0.00
35.00,2687.00,3363.00,0.00,61854.00,2765.00,0.00,15072.00,130.00,0.00
36.00,2503.00,3768.00,0.00,61873.00,2970.00,0.00,14945.40,171.60,0.00
37.00,2463.80,3907.20,0.00,61889.00,2350.00,0.00,14908.00,186.00,0.00
38.00,2135.00,3870.00,0.00,61981.00,1670.00,0.00,15036.40,105.60,0.00
39.00,2474.80,3601.20,0.00,62260.00,845.00,0.00,15627.00,8.00,0.00
40.00,3369.20,2797.80,0.00,64596.00,10.00,0.00,15925.00,0.00,0.00
41.00,4826.00,1260.00,0.00,66920.00,0.00,0.00,15943.00,0.00,0.00
42.00,5993.60,197.40,0.00,66567.00,0.00,0.00,15704.00,0.00,0.00
43.00,6943.60,5.40,0.00,64395.00,0.00,0.00,15360.00,0.00,0.00
44.00,7249.00,0.00,0.00,60881.00,0.00,0.00,14835.00,0.00,0.00
45.00,7174.00,0.00,0.00,59128.00,0.00,0.00,14230.00,0.00,0.00
46.00,7004.00,0.00,0.00,58005.00,0.00,0.00,13586.00,0.00,0.00
47.00,6698.00,0.00,0.00,53479.00,0.00,0.00,12808.00,0.00,0.00
48.00,6388.00,0.00,0.00,49534.00,0.00,0.00,12220.00,0.00,0.00
49.00,5597.00,0.00,0.00,47559.00,0.00,0.00,11958.00,0.00,0.00
50.00,4916.00,0.00,0.00,46483.00,0.00,0.00,11926.00,0.00,0.00
51.00,4582.00,0.00,0.00,46550.00,0.00,0.00,11969.00,0.00,0.00
52.00,4384.00,0.00,0.00,47393.00,0.00,0.00,12153.00,0.00,0.00
53.00,4327.00,0.00,0.00,49124.00,0.00,0.00,12639.00,0.00,0.00
54.00,4314.00,0.00,0.00,52818.00,0.00,0.00,13929.00,0.00,0.00
55.00,4416.00,0.00,0.00,58346.00,0.00,0.00,15126.00,0.00,0.00
56.00,4739.80,58.20,0.00,61551.00,0.00,0.00,15522.00,0.00,0.00
57.00,4794.60,782.40,0.00,62166.00,580.00,0.00,15575.00,0.00,0.00
58.00,4065.00,2325.00,0.00,61885.00,2135.00,0.00,15619.80,49.20,0.00
59.00,3402.40,3345.60,0.00,62274.00,3135.00,0.00,15553.20,90.80,0.00
60.00,3100.40,3753.60,0.00,61642.00,3520.00,0.00,15411.60,96.40,0.00
61.00,2941.80,3895.20,0.00,59852.00,4700.00,0.00,15399.00,76.00,0.00
62.00,2547.60,3854.40,0.00,60331.00,3425.00,0.00,15576.60,26.40,0.00
63.00,2945.40,3594.60,0.00,61533.00,1615.00,0.00,16153.20,0.80,0.00
64.00,3893.60,2813.40,0.00,64580.00,335.00,0.00,16501.00,0.00,0.00
65.00,5375.00,1299.00,0.00,67995.00,0.00,0.00,16493.00,0.00,0.00
66.00,6518.60,209.40,0.00,67590.00,0.00,0.00,16190.00,0.00,0.00
67.00,7396.00,6.00,0.00,65815.00,0.00,0.00,15807.00,0.00,0.00
68.00,7604.00,0.00,0.00,62665.00,0.00,0.00,15248.00,0.00,0.00
69.00,7594.00,0.00,0.00,60686.00,0.00,0.00,14558.00,0.00,0.00
70.00,7383.00,0.00,0.00,59677.00,0.00,0.00,13774.00,0.00,0.00
71.00,7034.00,0.00,0.00,55204.00,0.00,0.00,12954.00,0.00,0.00
72.00,6634.00,0.00,0.00,50771.00,0.00,0.00,12353.00,0.00,0.00
73.00,5809.00,0.00,0.00,48624.00,0.00,0.00,12105.00,0.00,0.00
74.00,5180.00,0.00,0.00,47706.00,0.00,0.00,11938.00,0.00,0.00
75.00,4771.00,0.00,0.00,47997.00,0.00,0.00,11786.00,0.00,0.00
76.00,4573.00,0.00,0.00,48779.00,0.00,0.00,11850.00,0.00,0.00
77.00,4496.00,0.00,0.00,50508.00,0.00,0.00,12355.00,0.00,0.00
78.00,4422.00,0.00,0.00,54646.00,0.00,0.00,13391.00,0.00,0.00
79.00,4480.00,0.00,0.00,60433.00,0.00,0.00,14439.00,0.00,0.00
80.00,4891.20,58.80,0.00,64002.00,0.00,0.00,14904.00,0.00,0.00
81.00,4995.20,778.80,0.00,64766.00,510.00,0.00,14918.00,0.00,0.00
82.00,4216.80,2305.20,0.00,65293.00,1245.00,0.00,15024.20,0.80,0.00
83.00,3579.40,3330.60,0.00,66368.00,1830.00,0.00,15043.20,10.80,0.00
84.00,3302.80,3739.20,0.00,65678.00,2170.00,0.00,15050.40,19.60,0.00
85.00,3200.60,3890.40,0.00,65097.00,1805.00,0.00,15071.60,34.40,0.00
86.00,2731.80,3862.20,0.00,64471.00,1215.00,0.00,15210.20,12.80,0.00
87.00,3134.60,3608.40,0.00,64907.00,540.00,0.00,15584.00,0.00,0.00
88.00,3994.40,2826.60,0.00,66621.00,5.00,0.00,15630.00,0.00,0.00
89.00,5520.60,1310.40,0.00,69349.00,0.00,0.00,15554.00,0.00,0.00
90.00,6740.00,222.00,0.00,69207.00,0.00,0.00,15250.00,0.00,0.00
91.00,7477.40,6.60,0.00,67245.00,0.00,0.00,14841.00,0.00,0.00
92.00,7653.00,0.00,0.00,63883.00,0.00,0.00,14382.00,0.00,0.00
93.00,7631.00,0.00,0.00,61903.00,0.00,0.00,13742.00,0.00,0.00
94.00,7429.00,0.00,0.00,60357.00,0.00,0.00,12932.00,0.00,0.00
95.00,7094.00,0.00,0.00,55966.00,0.00,0.00,12161.00,0.00,0.00
96.00,6723.00,0.00,0.00,52349.00,0.00,0.00,11618.00,0.00,0.00
97.00,5831.00,0.00,0.00,49994.00,0.00,0.00,11376.00,0.00,0.00
98.00,5236.00,0.00,0.00,48849.00,0.00,0.00,11230.00,0.00,0.00
99.00,4870.00,0.00,0.00,48659.00,0.00,0.00,11271.00,0.00,0.00
100.00,4644.00,0.00,0.00,49518.00,0.00,0.00,11480.00,0.00,0.00
101.00,4538.00,0.00,0.00,51396.00,0.00,0.00,12013.00,0.00,0.00
102.00,4462.00,0.00,0.00,54729.00,0.00,0.00,13225.00,0.00,0.00
103.00,4587.00,0.00,0.00,60358.00,0.00,0.00,14418.00,0.00,0.00
104.00,4919.80,52.20,0.00,63549.00,0.00,0.00,14893.00,0.00,0.00
105.00,5029.40,720.60,0.00,64488.00,225.00,0.00,14938.00,0.00,0.00
106.00,4274.20,2236.80,0.00,64930.00,1205.00,0.00,15081.40,79.60,0.00
107.00,3540.60,3284.40,0.00,65362.00,2045.00,0.00,15002.40,157.60,0.00
108.00,3179.80,3730.20,0.00,64511.00,2580.00,0.00,14792.40,167.60,0.00
109.00,3083.60,3857.40,0.00,62532.00,2900.00,0.00,14658.40,83.60,0.00
110.00,2608.60,3815.40,0.00,61771.00,2025.00,0.00,14633.40,27.60,0.00
111.00,2961.00,3549.00,0.00,62356.00,870.00,0.00,15088.00,2.00,0.00
112.00,3809.60,2777.40,0.00,64964.00,20.00,0.00,15502.00,0.00,0.00
113.00,5187.40,1296.60,0.00,67436.00,0.00,0.00,15567.00,0.00,0.00
114.00,6215.20,235.80,0.00,66711.00,0.00,0.00,15165.00,0.00,0.00
115.00,7060.80,7.20,0.00,64136.00,0.00,0.00,14637.00,0.00,0.00
116.00,7294.00,0.00,0.00,60309.00,0.00,0.00,14107.00,0.00,0.00
117.00,7278.00,0.00,0.00,58096.00,0.00,0.00,13487.00,0.00,0.00
118.00,7022.00,0.00,0.00,57227.00,0.00,0.00,12981.00,0.00,0.00
119.00,6734.00,0.00,0.00,53132.00,0.00,0.00,12364.00,0.00,0.00
120.00,6457.00,0.00,0.00,49137.00,0.00,0.00,11891.00,0.00,0.00
121.00,5739.00,0.00,0.00,46492.00,0.00,0.00,11526.00,0.00,0.00
122.00,5236.00,0.00,0.00,45137.00,0.00,0.00,11322.00,0.00,0.00
123.00,4852.00,0.00,0.00,44896.00,0.00,0.00,11199.00,0.00,0.00
124.00,4612.00,0.00,0.00,44958.00,0.00,0.00,11229.00,0.00,0.00
125.00,4397.00,0.00,0.00,43942.00,0.00,0.00,11289.00,0.00,0.00
126.00,4286.00,0.00,0.00,42786.00,0.00,0.00,11678.00,0.00,0.00
127.00,4264.00,0.00,0.00,44975.00,0.00,0.00,12136.00,0.00,0.00
128.00,4361.80,58.20,0.00,47781.00,0.00,0.00,12521.00,0.00,0.00
129.00,3636.80,784.20,0.00,50145.00,580.00,0.00,12944.00,0.00,0.00
130.00,2512.40,2292.60,0.00,51670.00,1660.00,0.00,13245.60,28.40,0.00
131.00,1947.60,3320.40,0.00,52552.00,2510.00,0.00,13400.40,81.60,0.00
132.00,1720.20,3739.80,0.00,51726.00,2900.00,0.00,13346.40,103.60,0.00
133.00,1683.20,3898.80,0.00,49836.00,3215.00,0.00,13361.60,104.40,0.00
134.00,1630.60,3857.40,0.00,49100.00,2170.00,0.00,13492.60,40.40,0.00
135.00,1692.60,3590.40,0.00,50225.00,880.00,0.00,13937.20,2.80,0.00
