Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-01 00:00:00,0.00,11001.19,0.00,0.00
2016-01-01 01:00:00,0.00,10769.37,0.00,0.00
2016-01-01 02:00:00,0.00,10637.34,0.00,0.00
2016-01-01 03:00:00,0.00,10584.82,0.00,0.00
2016-01-01 04:00:00,0.00,10653.84,0.00,0.00
2016-01-01 05:00:00,0.00,10987.69,0.00,0.00
2016-01-01 06:00:00,0.00,11253.26,0.00,0.00
2016-01-01 07:00:00,0.00,11371.05,0.00,0.00
2016-01-01 08:00:00,0.00,11440.07,0.00,0.00
2016-01-01 09:00:00,1.97,11774.20,0.00,0.00
2016-01-01 10:00:00,18.72,12114.55,0.00,0.00
2016-01-01 11:00:00,38.42,12333.42,0.00,0.00
2016-01-01 12:00:00,44.33,12482.80,0.00,0.00
2016-01-01 13:00:00,26.60,12696.34,0.00,0.00
2016-01-01 14:00:00,0.99,13211.10,0.00,0.00
2016-01-01 15:00:00,0.00,13542.93,0.00,0.00
2016-01-01 16:00:00,0.00,13572.19,0.00,0.00
2016-01-01 17:00:00,0.00,13437.15,0.00,0.00
2016-01-01 18:00:00,0.00,13200.08,0.00,0.00
2016-01-01 19:00:00,0.00,12928.50,0.00,0.00
2016-01-01 20:00:00,0.00,12491.12,0.00,0.00
2016-01-01 21:00:00,0.00,12084.51,0.00,0.00
2016-01-01 22:00:00,0.00,11586.36,0.00,0.00
2016-01-01 23:00:00,0.00,11222.51,0.00,0.00
2016-01-02 00:00:00,0.00,11049.21,0.00,0.00
2016-01-02 01:00:00,0.00,10956.18,0.00,0.00
2016-01-02 02:00:00,0.00,10958.43,0.00,0.00
2016-01-02 03:00:00,0.00,11154.24,0.00,0.00
2016-01-02 04:00:00,0.00,11724.40,0.00,0.00
2016-01-02 05:00:00,0.00,13035.78,0.00,0.00
2016-01-02 06:00:00,0.00,14285.64,0.00,0.00
2016-01-02 07:00:00,0.00,14849.06,0.00,0.00
2016-01-02 08:00:00,0.00,14930.08,0.00,0.00
2016-01-02 09:00:00,52.21,15041.42,0.00,0.00
2016-01-02 10:00:00,130.04,15072.37,0.00,0.00
2016-01-02 11:00:00,171.42,14945.47,0.00,0.00
2016-01-02 12:00:00,186.19,14907.44,0.00,0.00
2016-01-02 13:00:00,105.41,15036.23,0.00,0.00
2016-01-02 14:00:00,7.88,15627.41,0.00,0.00
2016-01-02 15:00:00,0.00,15924.87,0.00,0.00
2016-01-02 16:00:00,0.00,15942.88,0.00,0.00
2016-01-02 17:00:00,0.00,15703.56,0.00,0.00
2016-01-02 18:00:00,0.00,15359.96,0.00,0.00
2016-01-02 19:00:00,0.00,14834.80,0.00,0.00
2016-01-02 20:00:00,0.00,14230.13,0.00,0.00
2016-01-02 21:00:00,0.00,13585.69,0.00,0.00
2016-01-02 22:00:00,0.00,12808.47,0.00,0.00
2016-01-02 23:00:00,0.00,12219.55,0.00,0.00
2016-01-03 00:00:00,0.00,11957.72,0.00,0.00
2016-01-03 01:00:00,0.00,11926.21,0.00,0.00
2016-01-03 02:00:00,0.00,11968.97,0.00,0.00
2016-01-03 03:00:00,0.00,12152.78,0.00,0.00
2016-01-03 04:00:00,0.00,12638.92,0.00,0.00
2016-01-03 05:00:00,0.00,13928.54,0.00,0.00
2016-01-03 06:00:00,0.00,15125.89,0.00,0.00
2016-01-03 07:00:00,0.00,15522.00,0.00,0.00
2016-01-03 08:00:00,0.00,15574.52,0.00,0.00
2016-01-03 09:00:00,49.26,15619.79,0.00,0.00
2016-01-03 10:00:00,90.63,15553.66,0.00,0.00
2016-01-03 11:00:00,96.54,15411.20,0.00,0.00
2016-01-03 12:00:00,75.86,15399.63,0.00,0.00
2016-01-03 13:00:00,26.60,15576.43,0.00,0.00
2016-01-03 14:00:00,0.99,16152.70,0.00,0.00
2016-01-03 15:00:00,0.00,16501.04,0.00,0.00
2016-01-03 16:00:00,0.00,16492.79,0.00,0.00
2016-01-03 17:00:00,0.00,16190.45,0.00,0.00
2016-01-03 18:00:00,0.00,15807.09,0.00,0.00
2016-01-03 19:00:00,0.00,15248.17,0.00,0.00
2016-01-03 20:00:00,0.00,14557.97,0.00,0.00
2016-01-03 21:00:00,0.00,13774.00,0.00,0.00
2016-01-03 22:00:00,0.00,12954.01,0.00,0.00
2016-01-03 23:00:00,0.00,12353.08,0.00,0.00
2016-01-04 00:00:00,0.00,12104.76,0.00,0.00
2016-01-04 01:00:00,0.00,11938.21,0.00,0.00
2016-01-04 02:00:00,0.00,11785.92,0.00,0.00
2016-01-04 03:00:00,0.00,11849.69,0.00,0.00
2016-01-04 04:00:00,0.00,12355.33,0.00,0.00
2016-01-04 05:00:00,0.00,13390.64,0.00,0.00
2016-01-04 06:00:00,0.00,14438.69,0.00,0.00
2016-01-04 07:00:00,0.00,14903.82,0.00,0.00
2016-01-04 08:00:00,0.00,14918.08,0.00,0.00
2016-01-04 09:00:00,0.99,15023.62,0.00,0.00
2016-01-04 10:00:00,10.84,15043.03,0.00,0.00
2016-01-04 11:00:00,19.70,15049.92,0.00,0.00
2016-01-04 12:00:00,34.48,15071.15,0.00,0.00
2016-01-04 13:00:00,12.81,15209.86,0.00,0.00
2016-01-04 14:00:00,0.00,15584.27,0.00,0.00
2016-01-04 15:00:00,0.00,15630.03,0.00,0.00
2016-01-04 16:00:00,0.00,15554.26,0.00,0.00
2016-01-04 17:00:00,0.00,15250.42,0.00,0.00
2016-01-04 18:00:00,0.00,14840.81,0.00,0.00
2016-01-04 19:00:00,0.00,14382.42,0.00,0.00
2016-01-04 20:00:00,0.00,13741.74,0.00,0.00
2016-01-04 21:00:00,0.00,12931.50,0.00,0.00
2016-01-04 22:00:00,0.00,12161.03,0.00,0.00
2016-01-04 23:00:00,0.00,11617.87,0.00,0.00
2016-01-05 00:00:00,0.00,11375.55,0.00,0.00
2016-01-05 01:00:00,0.00,11230.01,0.00,0.00
2016-01-05 02:00:00,0.00,11271.27,0.00,0.00
2016-01-05 03:00:00,0.00,11479.83,0.00,0.00
2016-01-05 04:00:00,0.00,12013.24,0.00,0.00
2016-01-05 05:00:00,0.00,13224.84,0.00,0.00
2016-01-05 06:00:00,0.00,14417.68,0.00,0.00
2016-01-05 07:00:00,0.00,14892.57,0.00,0.00
2016-01-05 08:00:00,0.00,14938.33,0.00,0.00
2016-01-05 09:00:00,79.80,15081.35,0.00,0.00
2016-01-05 10:00:00,157.62,15002.77,0.00,0.00
2016-01-05 11:00:00,167.48,14792.61,0.00,0.00
2016-01-05 12:00:00,83.74,14658.04,0.00,0.00
2016-01-05 13:00:00,27.58,14633.17,0.00,0.00
2016-01-05 14:00:00,1.97,15087.91,0.00,0.00
2016-01-05 15:00:00,0.00,15501.75,0.00,0.00
2016-01-05 16:00:00,0.00,15567.02,0.00,0.00
2016-01-05 17:00:00,0.00,15164.90,0.00,0.00
2016-01-05 18:00:00,0.00,14637.50,0.00,0.00
2016-01-05 19:00:00,0.00,14107.09,0.00,0.00
2016-01-05 20:00:00,0.00,13486.66,0.00,0.00
2016-01-05 21:00:00,0.00,12981.02,0.00,0.00
2016-01-05 22:00:00,0.00,12364.34,0.00,0.00
2016-01-05 23:00:00,0.00,11890.95,0.00,0.00
2016-01-06 00:00:00,0.00,11525.59,0.00,0.00
2016-01-06 01:00:00,0.00,11321.53,0.00,0.00
2016-01-06 02:00:00,0.00,11199.25,0.00,0.00
2016-01-06 03:00:00,0.00,11228.51,0.00,0.00
2016-01-06 04:00:00,0.00,11288.53,0.00,0.00
2016-01-06 05:00:00,0.00,11677.89,0.00,0.00
2016-01-06 06:00:00,0.00,12136.27,0.00,0.00
2016-01-06 07:00:00,0.00,12521.13,0.00,0.00
2016-01-06 08:00:00,0.00,12944.26,0.00,0.00
2016-01-06 09:00:00,28.57,13245.78,0.00,0.00
2016-01-06 10:00:00,81.77,13400.39,0.00,0.00
2016-01-06 11:00:00,103.44,13346.46,0.00,0.00
2016-01-06 12:00:00,104.43,13361.23,0.00,0.00
2016-01-06 13:00:00,40.39,13492.79,0.00,0.00
2016-01-06 14:00:00,2.96,13936.84,0.00,0.00
2016-01-06 15:00:00,0.00,14560.22,0.00,0.00
2016-01-06 16:00:00,0.00,14609.74,0.00,0.00
2016-01-06 17:00:00,0.00,14473.95,0.00,0.00
2016-01-06 18:00:00,0.00,14082.34,0.00,0.00
2016-01-06 19:00:00,0.00,13560.18,0.00,0.00
2016-01-06 20:00:00,0.00,13081.55,0.00,0.00
2016-01-06 21:00:00,0.00,12611.16,0.00,0.00
2016-01-06 22:00:00,0.00,12139.27,0.00,0.00
2016-01-06 23:00:00,0.00,11701.14,0.00,0.00
2016-01-07 00:00:00,0.00,11393.56,0.00,0.00
2016-01-07 01:00:00,0.00,11233.76,0.00,0.00
2016-01-07 02:00:00,0.00,11221.01,0.00,0.00
2016-01-07 03:00:00,0.00,11273.52,0.00,0.00
2016-01-07 04:00:00,0.00,11367.30,0.00,0.00
2016-01-07 05:00:00,0.00,11668.89,0.00,0.00
2016-01-07 06:00:00,0.00,12029.74,0.00,0.00
2016-01-07 07:00:00,0.00,12377.09,0.00,0.00
2016-01-07 08:00:00,0.00,12692.93,0.00,0.00
2016-01-07 09:00:00,8.87,13194.21,0.00,0.00
2016-01-07 10:00:00,51.23,13439.94,0.00,0.00
2016-01-07 11:00:00,75.86,13537.59,0.00,0.00
2016-01-07 12:00:00,54.18,13516.50,0.00,0.00
2016-01-07 13:00:00,9.85,13683.12,0.00,0.00
2016-01-07 14:00:00,0.00,14193.37,0.00,0.00
2016-01-07 15:00:00,0.00,14652.50,0.00,0.00
2016-01-07 16:00:00,0.00,14675.01,0.00,0.00
2016-01-07 17:00:00,0.00,14573.73,0.00,0.00
2016-01-07 18:00:00,0.00,14351.66,0.00,0.00
2016-01-07 19:00:00,0.00,14026.82,0.00,0.00
2016-01-07 20:00:00,0.00,13468.66,0.00,0.00
2016-01-07 21:00:00,0.00,12854.98,0.00,0.00
2016-01-07 22:00:00,0.00,12205.29,0.00,0.00
2016-01-07 23:00:00,0.00,11739.41,0.00,0.00
2016-01-08 00:00:00,0.00,11492.58,0.00,0.00
2016-01-08 01:00:00,0.00,11365.80,0.00,0.00
2016-01-08 02:00:00,0.00,11404.06,0.00,0.00
2016-01-08 03:00:00,0.00,11551.10,0.00,0.00
2016-01-08 04:00:00,0.00,12070.25,0.00,0.00
2016-01-08 05:00:00,0.00,13541.43,0.00,0.00
2016-01-08 06:00:00,0.00,14886.57,0.00,0.00
2016-01-08 07:00:00,0.00,15293.19,0.00,0.00
2016-01-08 08:00:00,0.00,15239.17,0.00,0.00
2016-01-08 09:00:00,0.99,15337.21,0.00,0.00
2016-01-08 10:00:00,5.91,15406.56,0.00,0.00
2016-01-08 11:00:00,13.79,15385.93,0.00,0.00
2016-01-08 12:00:00,16.75,15395.72,0.00,0.00
2016-01-08 13:00:00,15.76,15475.48,0.00,0.00
2016-01-08 14:00:00,2.96,15870.15,0.00,0.00
2016-01-08 15:00:00,0.00,16026.90,0.00,0.00
2016-01-08 16:00:00,0.00,16062.16,0.00,0.00
2016-01-08 17:00:00,0.00,15729.06,0.00,0.00
2016-01-08 18:00:00,0.00,15371.96,0.00,0.00
2016-01-08 19:00:00,0.00,14782.29,0.00,0.00
2016-01-08 20:00:00,0.00,14075.58,0.00,0.00
2016-01-08 21:00:00,0.00,13305.86,0.00,0.00
2016-01-08 22:00:00,0.00,12376.34,0.00,0.00
2016-01-08 23:00:00,0.00,11853.44,0.00,0.00
2016-01-09 00:00:00,0.00,11549.60,0.00,0.00
2016-01-09 01:00:00,0.00,11468.58,0.00,0.00
2016-01-09 02:00:00,0.00,11493.33,0.00,0.00
2016-01-09 03:00:00,0.00,11651.63,0.00,0.00
2016-01-09 04:00:00,0.00,12179.03,0.00,0.00
2016-01-09 05:00:00,0.00,13761.99,0.00,0.00
2016-01-09 06:00:00,0.00,15194.16,0.00,0.00
2016-01-09 07:00:00,0.00,15602.28,0.00,0.00
2016-01-09 08:00:00,0.00,15269.18,0.00,0.00
2016-01-09 09:00:00,0.99,15339.47,0.00,0.00
2016-01-09 10:00:00,10.84,15298.86,0.00,0.00
2016-01-09 11:00:00,23.64,15192.27,0.00,0.00
2016-01-09 12:00:00,30.54,15237.14,0.00,0.00
2016-01-09 13:00:00,11.82,15447.91,0.00,0.00
2016-01-09 14:00:00,0.00,15784.58,0.00,0.00
2016-01-09 15:00:00,0.00,15900.86,0.00,0.00
2016-01-09 16:00:00,0.00,15752.32,0.00,0.00
2016-01-09 17:00:00,0.00,15332.20,0.00,0.00
2016-01-09 18:00:00,0.00,14977.35,0.00,0.00
2016-01-09 19:00:00,0.00,14402.68,0.00,0.00
2016-01-09 20:00:00,0.00,13676.47,0.00,0.00
2016-01-09 21:00:00,0.00,12736.45,0.00,0.00
2016-01-09 22:00:00,0.00,11861.69,0.00,0.00
2016-01-09 23:00:00,0.00,11299.78,0.00,0.00
2016-01-10 00:00:00,0.00,11040.95,0.00,0.00
2016-01-10 01:00:00,0.00,10954.68,0.00,0.00
2016-01-10 02:00:00,0.00,10923.17,0.00,0.00
2016-01-10 03:00:00,0.00,11054.46,0.00,0.00
2016-01-10 04:00:00,0.00,11612.62,0.00,0.00
2016-01-10 05:00:00,0.00,13104.05,0.00,0.00
2016-01-10 06:00:00,0.00,14667.51,0.00,0.00
2016-01-10 07:00:00,0.00,15129.64,0.00,0.00
2016-01-10 08:00:00,0.00,14922.58,0.00,0.00
2016-01-10 09:00:00,40.39,15004.47,0.00,0.00
2016-01-10 10:00:00,68.96,14993.16,0.00,0.00
2016-01-10 11:00:00,66.99,14948.62,0.00,0.00
2016-01-10 12:00:00,60.09,14948.76,0.00,0.00
2016-01-10 13:00:00,20.69,15142.71,0.00,0.00
2016-01-10 14:00:00,13.79,15691.26,0.00,0.00
2016-01-10 15:00:00,0.00,15886.61,0.00,0.00
2016-01-10 16:00:00,0.00,15946.63,0.00,0.00
2016-01-10 17:00:00,0.00,15704.31,0.00,0.00
2016-01-10 18:00:00,0.00,15281.93,0.00,0.00
2016-01-10 19:00:00,0.00,14839.31,0.00,0.00
2016-01-10 20:00:00,0.00,14284.14,0.00,0.00
2016-01-10 21:00:00,0.00,13545.93,0.00,0.00
2016-01-10 22:00:00,0.00,12704.94,0.00,0.00
2016-01-10 23:00:00,0.00,12142.27,0.00,0.00
2016-01-11 00:00:00,0.00,11950.22,0.00,0.00
2016-01-11 01:00:00,0.00,11912.71,0.00,0.00
2016-01-11 02:00:00,0.00,11960.72,0.00,0.00
2016-01-11 03:00:00,0.00,12167.78,0.00,0.00
2016-01-11 04:00:00,0.00,12778.46,0.00,0.00
2016-01-11 05:00:00,0.00,14325.41,0.00,0.00
2016-01-11 06:00:00,0.00,15786.08,0.00,0.00
2016-01-11 07:00:00,0.00,16217.46,0.00,0.00
2016-01-11 08:00:00,0.00,15987.14,0.00,0.00
2016-01-11 09:00:00,35.47,15995.19,0.00,0.00
2016-01-11 10:00:00,83.74,15967.92,0.00,0.00
2016-01-11 11:00:00,110.34,15943.57,0.00,0.00
2016-01-11 12:00:00,89.65,16000.27,0.00,0.00
2016-01-11 13:00:00,24.63,16288.10,0.00,0.00
2016-01-11 14:00:00,1.97,16791.65,0.00,0.00
2016-01-11 15:00:00,0.00,16912.91,0.00,0.00
2016-01-11 16:00:00,0.00,16810.88,0.00,0.00
2016-01-11 17:00:00,0.00,16495.04,0.00,0.00
2016-01-11 18:00:00,0.00,15984.14,0.00,0.00
2016-01-11 19:00:00,0.00,15423.72,0.00,0.00
2016-01-11 20:00:00,0.00,14730.52,0.00,0.00
2016-01-11 21:00:00,0.00,13826.51,0.00,0.00
2016-01-11 22:00:00,0.00,12978.02,0.00,0.00
2016-01-11 23:00:00,0.00,12380.84,0.00,0.00
2016-01-12 00:00:00,0.00,12147.52,0.00,0.00
2016-01-12 01:00:00,0.00,12111.51,0.00,0.00
2016-01-12 02:00:00,0.00,12188.79,0.00,0.00
2016-01-12 03:00:00,0.00,12400.35,0.00,0.00
2016-01-12 04:00:00,0.00,12963.76,0.00,0.00
2016-01-12 05:00:00,0.00,14467.20,0.00,0.00
2016-01-12 06:00:00,0.00,16055.41,0.00,0.00
2016-01-12 07:00:00,0.00,16399.01,0.00,0.00
2016-01-12 08:00:00,0.00,16233.96,0.00,0.00
2016-01-12 09:00:00,132.01,16045.68,0.00,0.00
2016-01-12 10:00:00,227.57,15832.34,0.00,0.00
2016-01-12 11:00:00,267.96,15570.63,0.00,0.00
2016-01-12 12:00:00,228.55,15347.46,0.00,0.00
2016-01-12 13:00:00,58.12,15395.61,0.00,0.00
2016-01-12 14:00:00,2.96,15723.11,0.00,0.00
2016-01-12 15:00:00,0.00,16073.41,0.00,0.00
2016-01-12 16:00:00,0.00,16109.42,0.00,0.00
2016-01-12 17:00:00,0.00,15779.33,0.00,0.00
2016-01-12 18:00:00,0.00,15134.89,0.00,0.00
2016-01-12 19:00:00,0.00,14422.18,0.00,0.00
2016-01-12 20:00:00,0.00,13767.24,0.00,0.00
2016-01-12 21:00:00,0.00,13127.31,0.00,0.00
2016-01-12 22:00:00,0.00,12431.86,0.00,0.00
2016-01-12 23:00:00,0.00,11861.69,0.00,0.00
2016-01-13 00:00:00,0.00,11523.34,0.00,0.00
2016-01-13 01:00:00,0.00,11338.04,0.00,0.00
2016-01-13 02:00:00,0.00,11214.25,0.00,0.00
2016-01-13 03:00:00,0.00,11266.77,0.00,0.00
2016-01-13 04:00:00,0.00,11414.56,0.00,0.00
2016-01-13 05:00:00,0.00,11835.43,0.00,0.00
2016-01-13 06:00:00,0.00,12309.57,0.00,0.00
2016-01-13 07:00:00,0.00,12793.46,0.00,0.00
2016-01-13 08:00:00,0.00,13201.58,0.00,0.00
2016-01-13 09:00:00,153.68,13351.73,0.00,0.00
2016-01-13 10:00:00,249.24,13386.71,0.00,0.00
2016-01-13 11:00:00,278.80,13285.89,0.00,0.00
2016-01-13 12:00:00,260.08,13199.58,0.00,0.00
2016-01-13 13:00:00,130.04,13248.59,0.00,0.00
2016-01-13 14:00:00,4.93,13844.09,0.00,0.00
2016-01-13 15:00:00,0.00,14698.26,0.00,0.00
2016-01-13 16:00:00,0.00,14981.10,0.00,0.00
2016-01-13 17:00:00,0.00,14787.54,0.00,0.00
2016-01-13 18:00:00,0.00,14384.67,0.00,0.00
2016-01-13 19:00:00,0.00,13915.79,0.00,0.00
2016-01-13 20:00:00,0.00,13380.88,0.00,0.00
2016-01-13 21:00:00,0.00,12867.73,0.00,0.00
2016-01-13 22:00:00,0.00,12367.34,0.00,0.00
2016-01-13 23:00:00,0.00,11843.69,0.00,0.00
2016-01-14 00:00:00,0.00,11588.61,0.00,0.00
2016-01-14 01:00:00,0.00,11392.81,0.00,0.00
2016-01-14 02:00:00,0.00,11288.53,0.00,0.00
2016-01-14 03:00:00,0.00,11281.77,0.00,0.00
2016-01-14 04:00:00,0.00,11385.30,0.00,0.00
2016-01-14 05:00:00,0.00,11718.40,0.00,0.00
2016-01-14 06:00:00,0.00,11953.97,0.00,0.00
2016-01-14 07:00:00,0.00,12286.31,0.00,0.00
2016-01-14 08:00:00,0.00,12575.15,0.00,0.00
2016-01-14 09:00:00,89.65,12852.36,0.00,0.00
2016-01-14 10:00:00,118.22,12984.33,0.00,0.00
2016-01-14 11:00:00,177.33,12985.24,0.00,0.00
2016-01-14 12:00:00,209.84,12864.96,0.00,0.00
2016-01-14 13:00:00,143.83,12969.97,0.00,0.00
2016-01-14 14:00:00,39.41,13386.49,0.00,0.00
