Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-01 00:00:00,0.00,4877.40,0.00,0.00
2016-01-01 01:00:00,0.00,4646.99,0.00,0.00
2016-01-01 02:00:00,0.00,4360.35,0.00,0.00
2016-01-01 03:00:00,0.00,4098.60,0.00,0.00
2016-01-01 04:00:00,0.00,3836.85,0.00,0.00
2016-01-01 05:00:00,0.00,3720.72,0.00,0.00
2016-01-01 06:00:00,0.00,3643.30,0.00,0.00
2016-01-01 07:00:00,60.27,3549.85,0.00,0.00
2016-01-01 08:00:00,792.69,2731.72,0.00,0.00
2016-01-01 09:00:00,2343.91,1083.73,0.00,0.00
2016-01-01 10:00:00,3364.81,370.66,0.00,0.00
2016-01-01 11:00:00,3779.80,297.60,0.00,0.00
2016-01-01 12:00:00,3919.90,487.46,0.00,0.00
2016-01-01 13:00:00,3863.96,587.63,0.00,0.00
2016-01-01 14:00:00,3582.57,613.73,0.00,0.00
2016-01-01 15:00:00,2749.75,1345.16,0.00,0.00
2016-01-01 16:00:00,1187.53,2856.69,0.00,0.00
2016-01-01 17:00:00,173.66,3983.93,0.00,0.00
2016-01-01 18:00:00,4.75,5075.42,0.00,0.00
2016-01-01 19:00:00,0.00,5368.64,0.00,0.00
2016-01-01 20:00:00,0.00,5477.40,0.00,0.00
2016-01-01 21:00:00,0.00,5529.93,0.00,0.00
2016-01-01 22:00:00,0.00,5475.55,0.00,0.00
2016-01-01 23:00:00,0.00,5224.86,0.00,0.00
2016-01-02 00:00:00,0.00,4693.07,0.00,0.00
2016-01-02 01:00:00,0.00,4303.21,0.00,0.00
2016-01-02 02:00:00,0.00,3989.85,0.00,0.00
2016-01-02 03:00:00,0.00,3811.97,0.00,0.00
2016-01-02 04:00:00,0.00,3731.78,0.00,0.00
2016-01-02 05:00:00,0.00,3714.27,0.00,0.00
2016-01-02 06:00:00,0.00,3827.63,0.00,0.00
2016-01-02 07:00:00,61.80,4081.04,0.00,0.00
2016-01-02 08:00:00,798.52,3912.98,0.00,0.00
2016-01-02 09:00:00,2351.60,3135.94,0.00,0.00
2016-01-02 10:00:00,3363.09,2686.66,0.00,0.00
2016-01-02 11:00:00,3768.12,2502.82,0.00,0.00
2016-01-02 12:00:00,3907.13,2464.27,0.00,0.00
2016-01-02 13:00:00,3870.26,2134.32,0.00,0.00
2016-01-02 14:00:00,3601.35,2474.20,0.00,0.00
2016-01-02 15:00:00,2798.08,3368.72,0.00,0.00
2016-01-02 16:00:00,1259.78,4825.91,0.00,0.00
2016-01-02 17:00:00,197.33,5993.43,0.00,0.00
2016-01-02 18:00:00,5.24,6944.04,0.00,0.00
2016-01-02 19:00:00,0.00,7248.82,0.00,0.00
2016-01-02 20:00:00,0.00,7174.16,0.00,0.00
2016-01-02 21:00:00,0.00,7003.66,0.00,0.00
2016-01-02 22:00:00,0.00,6697.67,0.00,0.00
2016-01-02 23:00:00,0.00,6387.99,0.00,0.00
2016-01-03 00:00:00,0.00,5597.21,0.00,0.00
2016-01-03 01:00:00,0.00,4916.11,0.00,0.00
2016-01-03 02:00:00,0.00,4581.55,0.00,0.00
2016-01-03 03:00:00,0.00,4384.31,0.00,0.00
2016-01-03 04:00:00,0.00,4327.17,0.00,0.00
2016-01-03 05:00:00,0.00,4314.27,0.00,0.00
2016-01-03 06:00:00,0.00,4415.65,0.00,0.00
2016-01-03 07:00:00,58.12,4740.02,0.00,0.00
2016-01-03 08:00:00,782.57,4794.36,0.00,0.00
2016-01-03 09:00:00,2324.75,4065.09,0.00,0.00
2016-01-03 10:00:00,3345.73,3402.63,0.00,0.00
2016-01-03 11:00:00,3753.84,3100.51,0.00,0.00
2016-01-03 12:00:00,3895.25,2941.59,0.00,0.00
2016-01-03 13:00:00,3854.60,2547.22,0.00,0.00
2016-01-03 14:00:00,3594.89,2945.17,0.00,0.00
