", South, South, South "
"Timestep, Gas, PV, PHS "
1.00,4877.00,0.00,0.00
2.00,4647.00,0.00,0.00
3.00,4360.00,0.00,0.00
4.00,4099.00,0.00,0.00
5.00,3837.00,0.00,0.00
6.00,3721.00,0.00,0.00
7.00,3643.00,0.00,0.00
8.00,3550.00,60.00,0.00
9.00,2731.40,792.60,0.00
10.00,1083.80,2344.20,0.00
11.00,370.20,3364.80,0.00
12.00,297.00,3780.00,0.00
13.00,487.20,3919.80,0.00
14.00,588.00,3864.00,0.00
15.00,613.40,3582.60,0.00
16.00,1345.20,2749.80,0.00
17.00,2856.60,1187.40,0.00
18.00,3984.60,173.40,0.00
19.00,5075.20,4.80,0.00
20.00,5369.00,0.00,0.00
21.00,5477.00,0.00,0.00
22.00,5530.00,0.00,0.00
23.00,5476.00,0.00,0.00
24.00,5225.00,0.00,0.00
25.00,4693.00,0.00,0.00
26.00,4303.00,0.00,0.00
27.00,3990.00,0.00,0.00
28.00,3812.00,0.00,0.00
29.00,3732.00,0.00,0.00
30.00,3714.00,0.00,0.00
31.00,3828.00,0.00,0.00
32.00,4081.20,61.80,0.00
33.00,3913.40,798.60,0.00
34.00,3136.60,2351.40,0.00
35.00,2687.00,3363.00,0.00
36.00,2503.00,3768.00,0.00
37.00,2463.80,3907.20,0.00
38.00,2135.00,3870.00,0.00
39.00,2474.80,3601.20,0.00
40.00,3369.20,2797.80,0.00
41.00,4826.00,1260.00,0.00
42.00,5993.60,197.40,0.00
43.00,6943.60,5.40,0.00
44.00,7249.00,0.00,0.00
45.00,7174.00,0.00,0.00
46.00,7004.00,0.00,0.00
47.00,6698.00,0.00,0.00
48.00,6388.00,0.00,0.00
49.00,5597.00,0.00,0.00
50.00,4916.00,0.00,0.00
51.00,4582.00,0.00,0.00
52.00,4384.00,0.00,0.00
53.00,4327.00,0.00,0.00
54.00,4314.00,0.00,0.00
55.00,4416.00,0.00,0.00
56.00,4739.80,58.20,0.00
57.00,4794.60,782.40,0.00
58.00,4065.00,2325.00,0.00
59.00,3402.40,3345.60,0.00
60.00,3100.40,3753.60,0.00
61.00,2941.80,3895.20,0.00
62.00,2547.60,3854.40,0.00
63.00,2945.40,3594.60,0.00
64.00,3893.60,2813.40,0.00
65.00,5375.00,1299.00,0.00
66.00,6518.60,209.40,0.00
67.00,7396.00,6.00,0.00
68.00,7604.00,0.00,0.00
69.00,7594.00,0.00,0.00
70.00,7383.00,0.00,0.00
71.00,7034.00,0.00,0.00
72.00,6634.00,0.00,0.00
73.00,5809.00,0.00,0.00
74.00,5180.00,0.00,0.00
75.00,4771.00,0.00,0.00
76.00,4573.00,0.00,0.00
77.00,4496.00,0.00,0.00
78.00,4422.00,0.00,0.00
79.00,4480.00,0.00,0.00
80.00,4891.20,58.80,0.00
81.00,4995.20,778.80,0.00
82.00,4216.80,2305.20,0.00
83.00,3579.40,3330.60,0.00
84.00,3302.80,3739.20,0.00
85.00,3200.60,3890.40,0.00
86.00,2731.80,3862.20,0.00
87.00,3134.60,3608.40,0.00
88.00,3994.40,2826.60,0.00
89.00,5520.60,1310.40,0.00
90.00,6740.00,222.00,0.00
91.00,7477.40,6.60,0.00
92.00,7653.00,0.00,0.00
93.00,7631.00,0.00,0.00
94.00,7429.00,0.00,0.00
95.00,7094.00,0.00,0.00
96.00,6723.00,0.00,0.00
97.00,5831.00,0.00,0.00
98.00,5236.00,0.00,0.00
99.00,4870.00,0.00,0.00
100.00,4644.00,0.00,0.00
101.00,4538.00,0.00,0.00
102.00,4462.00,0.00,0.00
103.00,4587.00,0.00,0.00
104.00,4919.80,52.20,0.00
105.00,5029.40,720.60,0.00
106.00,4274.20,2236.80,0.00
107.00,3540.60,3284.40,0.00
108.00,3179.80,3730.20,0.00
109.00,3083.60,3857.40,0.00
