,Mid,Mid,South,South,North,North
,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2015-01-01 00:00:00,43102.4900625,0.0,4877.39981006,0.0,11001.19176,0.0
2015-01-01 01:00:00,41692.002871,0.0,4646.98598683,0.0,10769.3745031,0.0
2015-01-01 02:00:00,40592.8221168,0.0,4360.35119074,0.0,10637.3361951,0.0
2015-01-01 03:00:00,40218.1014052,0.0,4098.60108755,0.0,10584.8209589,0.0
2015-01-01 04:00:00,39606.0575761,0.0,3836.85098437,0.0,10653.8409836,0.0
2015-01-01 05:00:00,37483.6010325,0.0,3720.72241746,0.0,10987.6878421,0.0
2015-01-01 06:00:00,37678.647967,0.0,3643.30337286,0.0,11253.2648936,0.0
2015-01-01 07:00:00,38082.1933488,0.0,3549.85393042,60.26985188890799,11371.0490661,0.0
2015-01-01 08:00:00,39738.7986282,235.25390317285,2731.72441868,792.6854213910601,11440.0690908,0.0
2015-01-01 09:00:00,41005.6455676,1324.3433355033499,1083.72582958,2343.910204741236,11774.1963026,1.970299702288
2015-01-01 10:00:00,43548.0047868,1831.6342156226,370.657977042,3364.81092510675,12114.5523611,18.717847171732
2015-01-01 11:00:00,44266.4469404,2125.8988058109,297.601960626,3779.801055190854,12333.4185798,38.420844194612
2015-01-01 12:00:00,44088.6654325,2510.2571163003,487.457609142,3919.8980015348757,12482.8027362,44.331743301472
2015-01-01 13:00:00,43911.0052534,1891.39557761305,587.631409861,3863.96365487505,12696.3422427,26.599045980884
2015-01-01 14:00:00,44879.0835245,895.4534587021499,613.72933531,3582.567213291348,13211.0980529,0.985149851144
2015-01-01 15:00:00,48060.704239,37.10115639005,1345.15983237,2749.754634013632,13542.9291906,0.0
2015-01-01 16:00:00,52560.8251533,0.0,2856.6905678,1187.532857472912,13572.1876793,0.0
2015-01-01 17:00:00,53885.7991568,0.0,3983.92947196,173.65755433991998,13437.1485006,0.0
2015-01-01 18:00:00,53289.1284852,0.0,5075.41707096,4.746903535488,13200.0797202,0.0
2015-01-01 19:00:00,51142.6513831,0.0,5368.64208118,0.0,12928.5009274,0.0
2015-01-01 20:00:00,50796.7553416,0.0,5477.39740574,0.0,12491.1240319,0.0
2015-01-01 21:00:00,51205.104835,0.0,5529.93175744,0.0,12084.5060604,0.0
2015-01-01 22:00:00,47946.9562884,0.0,5475.55409515,0.0,11586.3615344,0.0
2015-01-01 23:00:00,44986.6626664,0.0,5224.86385548,0.0,11222.5059695,0.0
2015-01-02 00:00:00,42641.2953405,0.0,4693.06875148,0.0,11049.2056902,0.0
2015-01-02 01:00:00,41620.902018,0.0,4303.20856258,0.0,10956.1787004,0.0
2015-01-02 02:00:00,41525.7806066,0.0,3989.84576299,0.0,10958.4293534,0.0
2015-01-02 03:00:00,41841.8911556,0.0,3811.96629146,0.0,11154.2361625,0.0
2015-01-02 04:00:00,43825.0284603,0.0,3731.78228098,0.0,11724.4015838,0.0
2015-01-02 05:00:00,48708.8884021,0.0,3714.27083041,0.0,13035.7820527,0.0
2015-01-02 06:00:00,54815.8751795,0.0,3827.63443144,0.0,14285.6446736,0.0
2015-01-02 07:00:00,58782.149789,0.0,4081.03585758,61.804684032048,14849.0581359,0.0
2015-01-02 08:00:00,59730.5230499,1106.82571902725,3912.9777446,798.5241127397101,14930.0816431,0.0
2015-01-02 09:00:00,60296.7301951,2297.0018068855,3135.93542549,2351.600188468728,15041.4161508,52.212942110624
2015-01-02 10:00:00,61855.4274211,2763.71806844235,2686.65912581,3363.08621682219,15072.3708732,130.039780350988
2015-01-02 11:00:00,61872.3035823,2970.71351196425,2502.81894044,3768.123672493554,14945.4697663,171.41607409903202
2015-01-02 12:00:00,61890.6884785,2347.9713653555,2464.27420884,3907.128831024414,14907.435771,186.193321866188
2015-01-02 13:00:00,61981.5171281,1669.1194451939,2134.32301972,3870.261213565464,15036.2319891,105.411034072392
2015-01-02 14:00:00,62262.3649743,842.52451131445,2474.20256256,3601.3491282800937,15627.4050443,7.881198809152
2015-01-02 15:00:00,64593.4032645,12.290712302049998,3368.71745283,2798.078112004896,15924.8702597,0.0
2015-01-02 16:00:00,66920.314988,0.0,4825.90916978,1259.78072928303,15942.8754835,0.0
2015-01-02 17:00:00,66566.7323678,0.0,5993.42982248,197.328779970216,15703.5560501,0.0
2015-01-02 18:00:00,64395.2738849,0.0,6944.04349161,5.237416900824,15359.9563621,0.0
2015-01-02 19:00:00,60880.5857742,0.0,7248.81887871,0.0,14834.8040004,0.0
2015-01-02 20:00:00,59128.0458305,0.0,7174.16479998,0.0,14230.1285667,0.0
2015-01-02 21:00:00,58004.8445179,0.0,7003.65857079,0.0,13585.6915972,0.0
2015-01-02 22:00:00,53479.371308,0.0,6697.66901355,0.0,12808.4661019,0.0
2015-01-02 23:00:00,49534.23479,0.0,6387.99283513,0.0,12219.5452391,0.0
2015-01-03 00:00:00,47558.784064,0.0,5597.21259382,0.0,11957.7192759,0.0
2015-01-03 01:00:00,46482.663046,0.0,4916.10933236,0.0,11926.2101342,0.0
2015-01-03 02:00:00,46549.9206096,0.0,4581.54846104,0.0,11968.9725408,0.0
2015-01-03 03:00:00,47392.5617996,0.0,4384.31422835,0.0,12152.7758674,0.0
2015-01-03 04:00:00,49123.9636519,0.0,4327.17160019,0.0,12638.9169108,0.0
2015-01-03 05:00:00,52818.3255398,0.0,4314.26842609,0.0,13928.5410676,0.0
2015-01-03 06:00:00,58345.9364477,0.0,4415.65050831,0.0,15125.8884523,0.0
2015-01-03 07:00:00,61551.2397658,0.0,4740.01953258,58.11792228615,15522.0033765,0.0
2015-01-03 08:00:00,62164.8884766,580.6534547918001,4794.36166051,782.574516860472,15574.5186127,0.0
2015-01-03 09:00:00,61882.3952506,2137.19710034945,4065.08760825,2324.7485374696557,15619.7885452,49.257492557192
2015-01-03 10:00:00,62271.6671578,3137.2742932749998,3402.63168176,3345.7283728940943,15553.6550687,90.633786305236
2015-01-03 11:00:00,61644.4616873,3517.54842296835,3100.51492049,3753.835492851738,15411.2045556,96.5446854121
2015-01-03 12:00:00,59852.4081165,4699.4798094066,2941.5932136,3895.2457491739137,15399.6333431,75.856538538076
2015-01-03 13:00:00,60331.4551586,3424.8718718212003,2547.22123263,3854.59643189835,15576.4278378,26.599045980884
2015-01-03 14:00:00,61535.4730717,1612.65341911055,2945.17261899,3594.893339471832,16152.701496,0.985149851144
2015-01-03 15:00:00,64581.919037,333.1597325355,3893.41166401,2813.473902471666,16501.0374223,0.0
2015-01-03 16:00:00,67994.5143614,0.0,5374.58923935,1299.116736580434,16492.785028,0.0
2015-01-03 17:00:00,67590.0081573,0.0,6518.77683832,209.30679989143198,16190.4473112,0.0
2015-01-03 18:00:00,65815.3692998,0.0,7395.92749694,5.886160384002,15807.0860872,0.0
2015-01-03 19:00:00,62664.832855,0.0,7603.65616647,0.0,15248.1739308,0.0
2015-01-03 20:00:00,60686.499662,0.0,7593.51795825,0.0,14557.973684,0.0
2015-01-03 21:00:00,59676.6753852,0.0,7383.38055147,0.0,13773.9962297,0.0
2015-01-03 22:00:00,55204.0474039,0.0,7034.07319546,0.0,12954.0083278,0.0
2015-01-03 23:00:00,50770.8131385,0.0,6634.07479834,0.0,12353.0839825,0.0
2015-01-04 00:00:00,48624.3360364,0.0,5809.19331119,0.0,12104.7619372,0.0
2015-01-04 01:00:00,47705.7898817,0.0,5179.70274613,0.0,11938.2136168,0.0
2015-01-04 02:00:00,47996.91905,0.0,4771.40945137,0.0,11785.9194319,0.0
2015-01-04 03:00:00,48779.0284327,0.0,4573.2535634,0.0,11849.6879329,0.0
2015-01-04 04:00:00,50507.547818,0.0,4495.8345188,0.0,12355.3346355,0.0
2015-01-04 05:00:00,54645.8096258,0.0,4422.10209536,0.0,13390.6350057,0.0
2015-01-04 06:00:00,60432.8425649,0.0,4480.16637882,0.0,14438.6890761,0.0
2015-01-04 07:00:00,64002.2975489,0.0,4891.39644339,58.814134804692,14903.824025,0.0
2015-01-04 08:00:00,64768.7390057,507.60896273580005,4995.4883541,778.682055961374,14918.0781606,0.0
2015-01-04 09:00:00,65293.1359095,1244.7717881565,4216.23585855,2305.39699405665,15023.6239184,0.985149851144
2015-01-04 10:00:00,66367.8722584,1830.33643854725,3579.03233428,3330.617396639454,15043.0309086,10.836648362584
2015-01-04 11:00:00,65678.2996089,2169.2089348753,3303.23217819,3739.1359149035097,15049.9191308,19.702997022875998
2015-01-04 12:00:00,65095.2610387,1806.7983249253,3200.6062169,3890.609606720916,15071.1523307,34.480244790036004
2015-01-04 13:00:00,64472.707481,1212.95080320055,2732.01479801,3862.4288227319103,15209.8595823,12.806948064872
2015-01-04 14:00:00,64905.3233961,542.0509484518,3134.72456859,3608.1055543122716,15584.2714423,0.0
2015-01-04 15:00:00,66619.801744,6.5016086815000005,3994.46888247,2826.701940323886,15630.0347195,0.0
2015-01-04 16:00:00,69349.2738573,0.0,5521.00542511,1310.303605912404,15554.2627359,0.0
2015-01-04 17:00:00,69207.0721514,0.0,6740.25051932,221.93356329582602,15250.4245838,0.0
2015-01-04 18:00:00,67245.0729381,0.0,7477.08455237,6.756426032178,14840.8057416,0.0
2015-01-04 19:00:00,63883.155579,0.0,7653.42555229,0.0,14382.4227516,0.0
2015-01-04 20:00:00,61902.9007413,0.0,7631.30582526,0.0,13741.7368704,0.0
2015-01-04 21:00:00,60356.9376002,0.0,7429.46331612,0.0,12931.501798,0.0
2015-01-04 22:00:00,55965.9795176,0.0,7093.9807895,0.0,12161.0282616,0.0
2015-01-04 23:00:00,52349.4442391,0.0,6722.55370646,0.0,11617.8706761,0.0
2015-01-05 00:00:00,49994.4686897,0.0,5831.31303822,0.0,11375.5503721,0.0
2015-01-05 01:00:00,48849.1684634,0.0,5235.923719,0.0,11230.0081461,0.0
2015-01-05 02:00:00,48658.9256405,0.0,4870.02656772,0.0,11271.2701174,0.0
2015-01-05 03:00:00,49517.9008103,0.0,4644.22102095,0.0,11479.8306268,0.0
2015-01-05 04:00:00,51396.3084802,0.0,4538.23066227,0.0,12013.2353827,0.0
2015-01-05 05:00:00,54729.4011692,0.0,4461.73327296,0.0,13224.8369029,0.0
2015-01-05 06:00:00,60357.8984225,0.0,4587.07839279,0.0,14417.6829816,0.0
2015-01-05 07:00:00,63548.7894055,0.0,4919.97195923,52.35834599643,14892.5707601,0.0
2015-01-05 08:00:00,64487.0348286,226.27125008255,5029.57994672,720.627425722362,14938.3340374,0.0
2015-01-05 09:00:00,64932.1947262,1203.12841200265,4274.86445954,2236.630184839218,15081.3515443,79.797137942652
2015-01-05 10:00:00,65361.7480966,2045.7038165356998,3540.15842753,3284.699016439506,15002.7744884,157.623976183016
2015-01-05 11:00:00,64513.3326505,2578.0087136175503,3179.67533984,3729.974391080022,14792.6148748,167.475474694456
2015-01-05 12:00:00,62529.7899475,2902.21123967205,3083.63637493,3857.349635948934,14658.0392732,83.737737347228
