sit,,South
Production per timestep [MWh],,Gas plant
stf,t,
2019,1,975.479962012
2019,2,929.397197366
2019,3,872.070238148
2019,4,819.720217511
2019,5,767.370196874
2019,6,744.144483492
2019,7,728.660674572
2019,8,709.970786085
2019,9,546.344883736
2019,10,216.745165915
2019,11,74.1315954083
2019,12,59.5203921251
2019,13,97.4915218284
2019,14,117.526281972
2019,15,122.745867062
2019,16,269.031966474
2019,17,571.33811356
2019,18,796.785894392
2019,19,1015.08341419
2019,20,1073.72841624
2019,21,1095.47948115
2019,22,1105.98635149
2019,23,1095.11081903
2019,24,1044.9727711
2019,25,938.613750296
2019,26,860.641712516
2019,27,797.969152598
2019,28,762.393258292
2019,29,746.356456195
2019,30,742.854166082
2019,31,765.526886288
2019,32,816.207171516
2019,33,782.595548919
2019,34,627.187085099
2019,35,537.331825163
2019,36,500.563788088
2019,37,492.854841767
2019,38,426.864603944
2019,39,494.840512511
2019,40,673.743490566
2019,41,965.181833955
2019,42,1198.6859645
2019,43,1388.80869832
2019,44,1449.76377574
2019,45,1434.83296
2019,46,1400.73171416
2019,47,1339.53380271
2019,48,1277.59856703
2019,49,1119.44251876
2019,50,983.221866472
2019,51,916.309692207
2019,52,876.862845671
2019,53,865.434320039
2019,54,862.853685219
2019,55,883.130101663
2019,56,948.003906517
2019,57,958.872332103
2019,58,813.01752165
2019,59,680.526336353
2019,60,620.102984098
2019,61,588.318642721
2019,62,509.444246525
2019,63,589.034523798
2019,64,778.682332801
2019,65,1074.91784787
2019,66,1303.75536766
2019,67,1479.18549939
2019,68,1520.73123329
2019,69,1518.70359165
2019,70,1476.67611029
2019,71,1406.81463909
2019,72,1326.81495967
2019,73,1161.83866224
2019,74,1035.94054923
2019,75,954.281890275
2019,76,914.65071268
2019,77,899.166903759
2019,78,884.420419073
2019,79,896.033275763
2019,80,978.279288679
2019,81,999.097670819
2019,82,843.247171709
2019,83,715.806466855
2019,84,660.646435638
2019,85,640.12124338
2019,86,546.402959602
2019,87,626.944913718
2019,88,798.893776495
2019,89,1104.20108502
2019,90,1348.05010386
2019,91,1495.41691047
2019,92,1530.68511046
2019,93,1526.26116505
2019,94,1485.89266322
2019,95,1418.7961579
2019,96,1344.51074129
2019,97,1166.26260764
2019,98,1047.1847438
2019,99,974.005313543
2019,100,928.844204191
2019,101,907.646132454
2019,102,892.346654592
2019,103,917.415678559
2019,104,983.994391846
2019,105,1005.91598934
2019,106,854.972891908
2019,107,708.031685506
2019,108,635.935067967
2019,109,616.727274985
2019,110,521.713241174
2019,111,592.144768712
2019,112,761.940917764
2019,113,1037.40135254
2019,114,1242.94885787
2019,115,1412.14119595
2019,116,1458.79599761
2019,117,1455.66236962
2019,118,1404.41833533
2019,119,1346.72271399
2019,120,1291.42339642
2019,121,1147.82950179
2019,122,1047.1847438
2019,123,970.318692371
2019,124,922.39261714
2019,125,879.443480491
2019,126,857.139422403
2019,127,852.899808055
2019,128,872.371209656
2019,129,727.417382816
2019,130,502.43971271
2019,131,389.560349247
2019,132,343.960131913
2019,133,336.741530268
2019,134,326.072006229
2019,135,338.455073325
2019,136,501.84637647
2019,137,784.180971115
2019,138,1019.38774207
2019,139,1252.79926215
2019,140,1323.86566273
2019,141,1343.40475494
2019,142,1302.85192205
2019,143,1248.84292189
2019,144,1187.64501044
2019,145,1088.29056986
2019,146,979.903907418
2019,147,881.471122135
2019,148,833.729377963
2019,149,806.81704341
2019,150,801.287111653
2019,151,797.231828364
2019,152,796.691827882
2019,153,638.972585545
2019,154,359.737423703
2019,155,252.634887211
2019,156,239.247488459
2019,157,255.349650726
2019,158,267.526787562
2019,159,282.493682195
2019,160,420.50896683
2019,161,712.201934192
2019,162,941.308192153
2019,163,1148.75743005
2019,164,1231.33147132
2019,165,1253.63552941
2019,166,1263.95806869
2019,167,1216.03199346
2019,168,1131.05537545
2019,169,1020.82540242
2019,170,915.203705856
2019,171,860.273050399
2019,172,824.328493975
2019,173,811.056657757
2019,174,802.94609118
2019,175,831.51740526
2019,176,918.205567074
2019,177,948.524363544
2019,178,804.850692007
2019,179,673.590424568
2019,180,615.773108296
2019,181,600.860211801
2019,182,521.028678025
2019,183,612.503127439
2019,184,807.953723779
2019,185,1097.16242206
2019,186,1317.60145269
2019,187,1436.96576141
2019,188,1470.96184748
2019,189,1464.51026043
2019,190,1406.81463909
2019,191,1347.64436929
2019,192,1275.9395875
2019,193,1109.11997948
2019,194,999.995992803
2019,195,928.659873132
2019,196,894.374296236
2019,197,875.756859319
2019,198,867.277630625
2019,199,895.664613646
2019,200,953.846321671
2019,201,981.411439232
2019,202,835.170406717
2019,203,686.527568943
2019,204,623.794897319
2019,205,608.408094592
2019,206,516.631392762
2019,207,602.666115644
2019,208,786.970620084
2019,209,1076.86066068
2019,210,1302.0122872
2019,211,1442.71878358
2019,212,1492.52858133
2019,213,1488.47329804
2019,214,1442.20620234
2019,215,1372.16040008
2019,216,1292.34505171
2019,217,1135.2949898
2019,218,1016.0327949
2019,219,944.328013112
2019,220,898.060917408
2019,221,880.733797901
2019,222,887.922709186
2019,223,902.853524931
2019,224,966.686259954
2019,225,1005.26889845
2019,226,868.685841813
2019,227,727.91247352
2019,228,685.436084205
2019,229,672.61053817
2019,230,593.626671081
2019,231,701.710718713
2019,232,900.232800617
2019,233,1177.11296412
2019,234,1328.58760875
2019,235,1443.76388648
2019,236,1483.3120284
2019,237,1481.83737993
2019,238,1444.6025061
2019,239,1379.71797348
2019,240,1299.90262511
2019,241,1127.92174746
2019,242,1009.94986997
2019,243,938.982412413
2019,244,906.540146102
2019,245,883.130101663
2019,246,882.577108487
2019,247,902.669193872
2019,248,969.032770429
2019,249,1033.05357606
2019,250,989.434859184
2019,251,894.060763845
2019,252,824.256746082
2019,253,790.196830691
2019,254,679.424926534
2019,255,755.591019712
2019,256,914.272888483
2019,257,1119.97982977
2019,258,1273.34567265
2019,259,1404.01321
2019,260,1464.32592937
2019,261,1470.96184748
2019,262,1420.08647531
2019,263,1371.23874479
2019,264,1296.21600394
2019,265,1125.15678158
2019,266,1008.84388361
2019,267,943.959350994
2019,268,910.411098333
2019,269,889.213026596
2019,270,882.577108487
2019,271,903.222187048
2019,272,968.889494857
2019,273,981.886941822
2019,274,852.252202348
2019,275,712.689952061
2019,276,628.158296651
2019,277,594.972736207
2019,278,501.879000594
2019,279,592.657771672
2019,280,746.097015837
2019,281,1006.84090004
2019,282,1220.27389466
2019,283,1376.64990555
2019,284,1455.66236962
2019,285,1443.86518187
2019,286,1391.33083017
2019,287,1336.76883683
2019,288,1272.25296633
2019,289,1133.82034133
2019,290,1025.802341
2019,291,949.304951693
2019,292,894.927289412
2019,293,871.701576031
2019,294,854.9274497
2019,295,857.139422403
2019,296,872.788096815
2019,297,725.810042873
2019,298,486.600818589
2019,299,377.826840965
2019,300,327.677943523
2019,301,319.324624166
2019,302,304.801539152
2019,303,315.759694835
2019,304,445.177985732
2019,305,715.045559104
2019,306,974.087359003
2019,307,1225.21916839
2019,308,1312.62146816
2019,309,1333.63520884
2019,310,1306.53854322
2019,311,1251.97654988
2019,312,1189.11965891
2019,313,1059.16626261
2019,314,960.549146267
2019,315,869.305272269
2019,316,821.747859155
2019,317,811.793981992
2019,318,799.259470008
2019,319,800.36545636
2019,320,778.562495735
2019,321,632.736750658
2019,322,373.285392563
2019,323,276.001833063
2019,324,241.914745273
2019,325,277.2991921
2019,326,289.885431106
2019,327,288.202121874
2019,328,412.465078727
2019,329,652.188555669
2019,330,926.375636381
2019,331,1171.63974191
2019,332,1253.08253624
2019,333,1277.96722914
2019,334,1280.91652608
2019,335,1238.15172049
2019,336,1155.94006836
2019,337,1000.54898598
2019,338,914.65071268
2019,339,856.21776711
2019,340,830.042756791
2019,341,816.955251632
2019,342,823.038176565
