sit,South
pro,gas
timeindex,
2019-01-01 00:00:00,975.479962012
2019-01-01 01:00:00,929.397197366
2019-01-01 02:00:00,872.070238148
2019-01-01 03:00:00,819.720217511
2019-01-01 04:00:00,767.370196874
2019-01-01 05:00:00,744.144483492
2019-01-01 06:00:00,728.660674572
2019-01-01 07:00:00,709.970786085
2019-01-01 08:00:00,546.344883736
2019-01-01 09:00:00,216.745165915
2019-01-01 10:00:00,74.1315954083
2019-01-01 11:00:00,59.5203921251
2019-01-01 12:00:00,97.4915218284
2019-01-01 13:00:00,117.526281972
2019-01-01 14:00:00,122.745867062
2019-01-01 15:00:00,269.031966474
2019-01-01 16:00:00,571.33811356
2019-01-01 17:00:00,796.785894392
2019-01-01 18:00:00,1015.08341419
2019-01-01 19:00:00,1073.72841624
2019-01-01 20:00:00,1095.47948115
2019-01-01 21:00:00,1105.98635149
2019-01-01 22:00:00,1095.11081903
2019-01-01 23:00:00,1044.9727711
2019-01-02 00:00:00,938.613750296
2019-01-02 01:00:00,860.641712516
2019-01-02 02:00:00,797.969152598
2019-01-02 03:00:00,762.393258292
2019-01-02 04:00:00,746.356456195
2019-01-02 05:00:00,742.854166082
2019-01-02 06:00:00,765.526886288
2019-01-02 07:00:00,816.207171516
2019-01-02 08:00:00,782.595548919
2019-01-02 09:00:00,627.187085099
2019-01-02 10:00:00,537.331825163
2019-01-02 11:00:00,500.563788088
2019-01-02 12:00:00,492.854841767
2019-01-02 13:00:00,287.973764517
2019-01-02 14:00:00,494.840512511
2019-01-02 15:00:00,673.743490566
2019-01-02 16:00:00,965.181833955
2019-01-02 17:00:00,1198.6859645
2019-01-02 18:00:00,1388.80869832
2019-01-02 19:00:00,1449.76377574
2019-01-02 20:00:00,1434.83296
2019-01-02 21:00:00,1400.73171416
2019-01-02 22:00:00,1339.53380271
2019-01-02 23:00:00,1277.59856703
2019-01-03 00:00:00,1119.44251876
2019-01-03 01:00:00,983.221866472
2019-01-03 02:00:00,916.309692207
2019-01-03 03:00:00,876.862845671
2019-01-03 04:00:00,865.434320039
2019-01-03 05:00:00,862.853685219
2019-01-03 06:00:00,883.130101663
2019-01-03 07:00:00,948.003906517
2019-01-03 08:00:00,958.872332103
2019-01-03 09:00:00,813.01752165
2019-01-03 10:00:00,680.526336353
2019-01-03 11:00:00,620.102984098
2019-01-03 12:00:00,588.318642721
2019-01-03 13:00:00,509.444246525
2019-01-03 14:00:00,589.034523798
2019-01-03 15:00:00,778.682332801
2019-01-03 16:00:00,1074.91784787
2019-01-03 17:00:00,1303.75536766
2019-01-03 18:00:00,1479.18549939
2019-01-03 19:00:00,1520.73123329
2019-01-03 20:00:00,1518.70359165
2019-01-03 21:00:00,1476.67611029
2019-01-03 22:00:00,1406.81463909
2019-01-03 23:00:00,1326.81495967
2019-01-04 00:00:00,1161.83866224
2019-01-04 01:00:00,1035.94054923
2019-01-04 02:00:00,954.281890275
2019-01-04 03:00:00,914.65071268
2019-01-04 04:00:00,899.166903759
2019-01-04 05:00:00,884.420419073
2019-01-04 06:00:00,896.033275763
2019-01-04 07:00:00,978.279288679
2019-01-04 08:00:00,999.097670819
2019-01-04 09:00:00,843.247171709
2019-01-04 10:00:00,715.806466855
2019-01-04 11:00:00,660.646435638
2019-01-04 12:00:00,640.12124338
2019-01-04 13:00:00,546.402959602
2019-01-04 14:00:00,626.944913718
2019-01-04 15:00:00,798.893776495
2019-01-04 16:00:00,1104.20108502
2019-01-04 17:00:00,1348.05010386
2019-01-04 18:00:00,1495.41691047
2019-01-04 19:00:00,1530.68511046
2019-01-04 20:00:00,1526.26116505
2019-01-04 21:00:00,1485.89266322
2019-01-04 22:00:00,1418.7961579
2019-01-04 23:00:00,1344.51074129
2019-01-05 00:00:00,1166.26260764
2019-01-05 01:00:00,1047.1847438
2019-01-05 02:00:00,974.005313543
2019-01-05 03:00:00,928.844204191
2019-01-05 04:00:00,907.646132454
2019-01-05 05:00:00,892.346654592
2019-01-05 06:00:00,917.415678559
2019-01-05 07:00:00,983.994391846
2019-01-05 08:00:00,1005.91598934
2019-01-05 09:00:00,854.972891908
2019-01-05 10:00:00,708.031685506
2019-01-05 11:00:00,635.935067967
2019-01-05 12:00:00,616.727274985
2019-01-05 13:00:00,521.713241174
2019-01-05 14:00:00,592.144768712
2019-01-05 15:00:00,761.940917764
2019-01-05 16:00:00,1037.40135254
2019-01-05 17:00:00,1242.94885787
2019-01-05 18:00:00,1412.14119595
2019-01-05 19:00:00,1458.79599761
2019-01-05 20:00:00,1455.66236962
2019-01-05 21:00:00,1404.41833533
2019-01-05 22:00:00,1346.72271399
2019-01-05 23:00:00,1291.42339642
2019-01-06 00:00:00,1147.82950179
2019-01-06 01:00:00,1047.1847438
2019-01-06 02:00:00,970.318692371
2019-01-06 03:00:00,922.39261714
2019-01-06 04:00:00,879.443480491
2019-01-06 05:00:00,857.139422403
2019-01-06 06:00:00,852.899808055
2019-01-06 07:00:00,872.371209656
2019-01-06 08:00:00,727.417382816
2019-01-06 09:00:00,502.43971271
2019-01-06 10:00:00,389.560349247
2019-01-06 11:00:00,343.960131913
2019-01-06 12:00:00,336.741530268
2019-01-06 13:00:00,326.072006229
2019-01-06 14:00:00,338.455073325
2019-01-06 15:00:00,501.84637647
2019-01-06 16:00:00,784.180971115
2019-01-06 17:00:00,1019.38774207
2019-01-06 18:00:00,1252.79926215
2019-01-06 19:00:00,1323.86566273
2019-01-06 20:00:00,1343.40475494
2019-01-06 21:00:00,1302.85192205
2019-01-06 22:00:00,1248.84292189
2019-01-06 23:00:00,1187.64501044
2019-01-07 00:00:00,1088.29056986
2019-01-07 01:00:00,979.903907418
2019-01-07 02:00:00,881.471122135
2019-01-07 03:00:00,833.729377963
2019-01-07 04:00:00,806.81704341
2019-01-07 05:00:00,801.287111653
2019-01-07 06:00:00,797.231828364
2019-01-07 07:00:00,796.691827882
2019-01-07 08:00:00,638.972585545
2019-01-07 09:00:00,359.737423703
2019-01-07 10:00:00,252.634887211
2019-01-07 11:00:00,239.247488459
2019-01-07 12:00:00,255.349650726
2019-01-07 13:00:00,267.526787562
2019-01-07 14:00:00,282.493682195
2019-01-07 15:00:00,420.50896683
2019-01-07 16:00:00,712.201934192
2019-01-07 17:00:00,941.308192153
2019-01-07 18:00:00,1148.75743005
2019-01-07 19:00:00,1231.33147132
2019-01-07 20:00:00,1253.63552941
2019-01-07 21:00:00,1263.95806869
2019-01-07 22:00:00,1216.03199346
2019-01-07 23:00:00,1131.05537545
2019-01-08 00:00:00,1020.82540242
2019-01-08 01:00:00,915.203705856
2019-01-08 02:00:00,860.273050399
2019-01-08 03:00:00,824.328493975
2019-01-08 04:00:00,811.056657757
2019-01-08 05:00:00,802.94609118
2019-01-08 06:00:00,831.51740526
2019-01-08 07:00:00,918.205567074
2019-01-08 08:00:00,948.524363544
2019-01-08 09:00:00,804.850692007
2019-01-08 10:00:00,673.590424568
2019-01-08 11:00:00,615.773108296
2019-01-08 12:00:00,600.860211801
2019-01-08 13:00:00,521.028678025
2019-01-08 14:00:00,612.503127439
2019-01-08 15:00:00,807.953723779
2019-01-08 16:00:00,1097.16242206
2019-01-08 17:00:00,1317.60145269
2019-01-08 18:00:00,1436.96576141
2019-01-08 19:00:00,1470.96184748
2019-01-08 20:00:00,1464.51026043
2019-01-08 21:00:00,1406.81463909
2019-01-08 22:00:00,1347.64436929
2019-01-08 23:00:00,1275.9395875
2019-01-09 00:00:00,1109.11997948
2019-01-09 01:00:00,999.995992803
2019-01-09 02:00:00,928.659873132
2019-01-09 03:00:00,894.374296236
2019-01-09 04:00:00,875.756859319
2019-01-09 05:00:00,867.277630625
2019-01-09 06:00:00,895.664613646
2019-01-09 07:00:00,953.846321671
2019-01-09 08:00:00,981.411439232
2019-01-09 09:00:00,835.170406717
2019-01-09 10:00:00,686.527568943
2019-01-09 11:00:00,623.794897319
2019-01-09 12:00:00,608.408094592
2019-01-09 13:00:00,516.631392762
2019-01-09 14:00:00,602.666115644
2019-01-09 15:00:00,786.970620084
2019-01-09 16:00:00,1076.86066068
2019-01-09 17:00:00,1302.0122872
2019-01-09 18:00:00,1442.71878358
2019-01-09 19:00:00,1492.52858133
2019-01-09 20:00:00,1488.47329804
2019-01-09 21:00:00,1442.20620234
2019-01-09 22:00:00,1372.16040008
2019-01-09 23:00:00,1292.34505171
2019-01-10 00:00:00,1135.2949898
2019-01-10 01:00:00,1016.0327949
2019-01-10 02:00:00,944.328013112
2019-01-10 03:00:00,898.060917408
2019-01-10 04:00:00,880.733797901
2019-01-10 05:00:00,887.922709186
2019-01-10 06:00:00,902.853524931
2019-01-10 07:00:00,966.686259954
2019-01-10 08:00:00,1005.26889845
2019-01-10 09:00:00,868.685841813
2019-01-10 10:00:00,727.91247352
2019-01-10 11:00:00,685.436084205
2019-01-10 12:00:00,672.61053817
2019-01-10 13:00:00,593.626671081
2019-01-10 14:00:00,701.710718713
2019-01-10 15:00:00,900.232800617
2019-01-10 16:00:00,1177.11296412
2019-01-10 17:00:00,1328.58760875
2019-01-10 18:00:00,1443.76388648
2019-01-10 19:00:00,1483.3120284
2019-01-10 20:00:00,1481.83737993
2019-01-10 21:00:00,1444.6025061
2019-01-10 22:00:00,1379.71797348
2019-01-10 23:00:00,1299.90262511
2019-01-11 00:00:00,1127.92174746
2019-01-11 01:00:00,1009.94986997
2019-01-11 02:00:00,938.982412413
2019-01-11 03:00:00,906.540146102
2019-01-11 04:00:00,883.130101663
2019-01-11 05:00:00,882.577108487
2019-01-11 06:00:00,902.669193872
2019-01-11 07:00:00,969.032770429
2019-01-11 08:00:00,1033.05357606
2019-01-11 09:00:00,989.434859184
2019-01-11 10:00:00,894.060763845
2019-01-11 11:00:00,824.256746082
2019-01-11 12:00:00,790.196830691
2019-01-11 13:00:00,679.424926534
2019-01-11 14:00:00,755.591019712
2019-01-11 15:00:00,914.272888483
2019-01-11 16:00:00,1119.97982977
2019-01-11 17:00:00,1273.34567265
2019-01-11 18:00:00,1404.01321
2019-01-11 19:00:00,1464.32592937
2019-01-11 20:00:00,1470.96184748
2019-01-11 21:00:00,1420.08647531
2019-01-11 22:00:00,1371.23874479
2019-01-11 23:00:00,1296.21600394
2019-01-12 00:00:00,1125.15678158
2019-01-12 01:00:00,1008.84388361
2019-01-12 02:00:00,943.959350994
2019-01-12 03:00:00,910.411098333
2019-01-12 04:00:00,889.213026596
2019-01-12 05:00:00,882.577108487
2019-01-12 06:00:00,903.222187048
2019-01-12 07:00:00,968.889494857
2019-01-12 08:00:00,981.886941822
2019-01-12 09:00:00,852.252202348
2019-01-12 10:00:00,712.689952061
2019-01-12 11:00:00,628.158296651
2019-01-12 12:00:00,594.972736207
2019-01-12 13:00:00,501.879000594
2019-01-12 14:00:00,592.657771672
2019-01-12 15:00:00,746.097015837
2019-01-12 16:00:00,1006.84090004
2019-01-12 17:00:00,1220.27389466
2019-01-12 18:00:00,1376.64990555
2019-01-12 19:00:00,1455.66236962
2019-01-12 20:00:00,1443.86518187
2019-01-12 21:00:00,1391.33083017
2019-01-12 22:00:00,1336.76883683
2019-01-12 23:00:00,1272.25296633
2019-01-13 00:00:00,1133.82034133
