sit,,South,South,South
Production per timestep [MWh],,Curtailment,Gas plant,Photovoltaics
stf,t,,,
2019,1,0.0,4877.39981006,0.0
2019,2,0.0,4646.98598683,0.0
2019,3,0.0,4360.35119074,0.0
2019,4,0.0,4098.60108755,0.0
2019,5,0.0,3836.85098437,0.0
2019,6,0.0,3720.72241746,0.0
2019,7,0.0,3643.30337286,0.0
2019,8,0.0,3549.85393042,60.2698518889
2019,9,0.0,2731.72441868,792.685421391
2019,10,0.0,1083.72582958,2343.91020474
2019,11,0.0,370.657977042,3364.81092511
2019,12,0.0,297.601960626,3779.80105519
2019,13,0.0,487.457609142,3919.89800153
2019,14,0.0,587.631409861,3863.96365488
2019,15,0.0,613.72933531,3582.56721329
2019,16,0.0,1345.15983237,2749.75463401
2019,17,0.0,2856.6905678,1187.53285747
2019,18,0.0,3983.92947196,173.65755434
2019,19,0.0,5075.41707096,4.74690353549
2019,20,0.0,5368.64208118,0.0
2019,21,0.0,5477.39740574,0.0
2019,22,0.0,5529.93175744,0.0
2019,23,0.0,5475.55409515,0.0
2019,24,0.0,5224.86385548,0.0
2019,25,0.0,4693.06875148,0.0
2019,26,0.0,4303.20856258,0.0
2019,27,0.0,3989.84576299,0.0
2019,28,0.0,3811.96629146,0.0
2019,29,0.0,3731.78228098,0.0
2019,30,0.0,3714.27083041,0.0
2019,31,0.0,3827.63443144,0.0
2019,32,0.0,4081.03585758,61.804684032
2019,33,0.0,3912.9777446,798.52411274
2019,34,0.0,3135.93542549,2351.60018847
2019,35,0.0,2686.65912581,3363.08621682
2019,36,0.0,2502.81894044,3768.12367249
2019,37,0.0,2464.27420884,3907.12883102
2019,38,0.0,1439.86882258,3870.26121357
2019,39,0.0,2474.20256256,3601.34912828
2019,40,0.0,3368.71745283,2798.078112
2019,41,0.0,4825.90916978,1259.78072928
2019,42,0.0,5993.42982248,197.32877997
2019,43,0.0,6944.04349161,5.23741690082
2019,44,0.0,7248.81887871,0.0
2019,45,0.0,7174.16479998,0.0
2019,46,0.0,7003.65857079,0.0
2019,47,0.0,6697.66901355,0.0
2019,48,0.0,6387.99283513,0.0
2019,49,0.0,5597.21259382,0.0
2019,50,0.0,4916.10933236,0.0
2019,51,0.0,4581.54846104,0.0
2019,52,0.0,4384.31422835,0.0
2019,53,0.0,4327.17160019,0.0
2019,54,0.0,4314.26842609,0.0
2019,55,0.0,4415.65050831,0.0
2019,56,0.0,4740.01953258,58.1179222862
2019,57,0.0,4794.36166051,782.57451686
2019,58,0.0,4065.08760825,2324.74853747
2019,59,0.0,3402.63168176,3345.72837289
2019,60,0.0,3100.51492049,3753.83549285
2019,61,0.0,2941.5932136,3895.24574917
2019,62,0.0,2547.22123263,3854.5964319
2019,63,0.0,2945.17261899,3594.89333947
2019,64,0.0,3893.41166401,2813.47390247
2019,65,0.0,5374.58923935,1299.11673658
2019,66,0.0,6518.77683832,209.306799891
2019,67,0.0,7395.92749694,5.886160384
2019,68,0.0,7603.65616647,0.0
2019,69,0.0,7593.51795825,0.0
2019,70,0.0,7383.38055147,0.0
2019,71,0.0,7034.07319546,0.0
2019,72,0.0,6634.07479834,0.0
2019,73,0.0,5809.19331119,0.0
2019,74,0.0,5179.70274613,0.0
2019,75,0.0,4771.40945137,0.0
2019,76,0.0,4573.2535634,0.0
2019,77,0.0,4495.8345188,0.0
2019,78,0.0,4422.10209536,0.0
2019,79,0.0,4480.16637882,0.0
2019,80,0.0,4891.39644339,58.8141348047
2019,81,0.0,4995.4883541,778.682055961
2019,82,0.0,4216.23585855,2305.39699406
2019,83,0.0,3579.03233428,3330.61739664
2019,84,0.0,3303.23217819,3739.1359149
2019,85,0.0,3200.6062169,3890.60960672
2019,86,0.0,2732.01479801,3862.42882273
2019,87,0.0,3134.72456859,3608.10555431
2019,88,0.0,3994.46888247,2826.70194032
2019,89,0.0,5521.00542511,1310.30360591
2019,90,0.0,6740.25051932,221.933563296
2019,91,0.0,7477.08455237,6.75642603218
2019,92,0.0,7653.42555229,0.0
2019,93,0.0,7631.30582526,0.0
2019,94,0.0,7429.46331612,0.0
2019,95,0.0,7093.9807895,0.0
2019,96,0.0,6722.55370646,0.0
2019,97,0.0,5831.31303822,0.0
