sit,Mid,North,South
pro,gas,gas,gas
timeindex,,,
2019-01-01 00:00:00,14367.4966875,3667.06391998,1625.79993669
2019-01-01 01:00:00,13897.3342903,3589.79150105,1548.99532894
2019-01-01 02:00:00,13530.9407056,3545.77873169,1453.45039691
2019-01-01 03:00:00,13406.0338017,3528.27365296,1366.20036252
2019-01-01 04:00:00,13202.019192,3551.28032786,1278.95032812
2019-01-01 05:00:00,12494.5336775,3662.56261403,1240.24080582
2019-01-01 06:00:00,12559.5493223,3751.08829786,1214.43445762
2019-01-01 07:00:00,12694.0644496,3790.34968871,1183.28464347
2019-01-01 08:00:00,13246.2662094,3813.3563636,910.574806227
2019-01-01 09:00:00,13668.5485225,3924.73210086,361.241943192
2019-01-01 10:00:00,14516.0015956,4038.18412036,123.552659014
2019-01-01 11:00:00,14755.4823135,4111.1395266,99.2006535418
2019-01-01 12:00:00,14696.2218108,4160.93424541,162.485869714
2019-01-01 13:00:00,14637.0017511,4232.1140809,195.87713662
2019-01-01 14:00:00,14959.6945082,4403.69935095,204.576445103
2019-01-01 15:00:00,16020.2347463,4514.30973019,448.386610789
2019-01-01 16:00:00,17520.2750511,4524.06255977,952.230189266
2019-01-01 17:00:00,17961.9330523,4479.04950019,1327.97649065
2019-01-01 18:00:00,17763.0428284,4400.02657339,1691.80569032
2019-01-01 19:00:00,17047.550461,4309.50030913,1789.54736039
2019-01-01 20:00:00,16932.2517805,4163.70801062,1825.79913525
2019-01-01 21:00:00,17068.3682783,4028.16868679,1843.31058581
2019-01-01 22:00:00,15982.3187628,3862.12051147,1825.18469838
2019-01-01 23:00:00,14995.5542221,3740.83532318,1741.62128516
2019-01-02 00:00:00,14213.7651135,3683.06856339,1564.35625049
2019-01-02 01:00:00,13873.634006,3652.05956679,1434.40285419
2019-01-02 02:00:00,13841.9268689,3652.80978445,1329.94858766
2019-01-02 03:00:00,13947.2970519,3718.07872084,1270.65543049
2019-01-02 04:00:00,14608.3428201,3908.13386126,1243.92742699
2019-01-02 05:00:00,16236.296134,4345.26068424,1238.0902768
2019-01-02 06:00:00,18271.9583932,4761.88155785,1275.87814381
2019-01-02 07:00:00,19594.0499297,4949.6860453,1360.34528586
2019-01-02 08:00:00,19910.17435,4976.69388104,1304.32591487
2019-01-02 09:00:00,20114.2493802,5000.0,1045.3118085
2019-01-02 10:00:00,20645.2798342,5000.0,895.553041938
2019-01-02 11:00:00,20624.1011941,4981.82325542,834.272980146
2019-01-02 12:00:00,20630.2294928,4969.14525702,821.424736278
