sit,,Mid
Production per timestep [MWh],,Gas plant
stf,t,
2019,1,14367.4966875
2019,2,13897.3342903
2019,3,13530.9407056
2019,4,13406.0338017
2019,5,13202.019192
2019,6,12494.5336775
2019,7,12559.5493223
2019,8,12694.0644496
2019,9,13246.2662094
2019,10,13668.5485225
2019,11,14516.0015956
2019,12,14755.4823135
2019,13,14696.2218108
2019,14,14637.0017511
2019,15,14959.6945082
2019,16,16020.2347463
2019,17,17520.2750511
2019,18,17961.9330523
2019,19,17763.0428284
2019,20,17047.550461
2019,21,16932.2517805
2019,22,17068.3682783
2019,23,15982.3187628
2019,24,14995.5542221
2019,25,14213.7651135
2019,26,13873.634006
2019,27,13841.9268689
2019,28,13947.2970519
2019,29,14608.3428201
2019,30,16236.296134
2019,31,18271.9583932
2019,32,19594.0499297
2019,33,19910.17435
2019,34,20098.910065
2019,35,20618.475807
2019,36,20624.1011941
2019,37,20630.2294928
2019,38,20660.5057094
2019,39,20754.1216581
2019,40,21531.1344215
2019,41,22306.7716627
2019,42,22188.9107893
2019,43,21465.091295
2019,44,20293.5285914
2019,45,19709.3486102
2019,46,19334.9481726
2019,47,17826.4571027
2019,48,16511.4115967
2019,49,15852.9280213
2019,50,15494.2210153
2019,51,15516.6402032
2019,52,15797.5205999
2019,53,16374.6545506
2019,54,17606.1085133
2019,55,19448.6454826
2019,56,20517.0799219
2019,57,20721.6294922
2019,58,20627.4650835
2019,59,20757.2223859
2019,60,20548.1538958
2019,61,19950.8027055
2019,62,20110.4850529
2019,63,20511.8243572
2019,64,21527.3063457
2019,65,22664.8381205
2019,66,22530.0027191
2019,67,21938.4564333
2019,68,20888.2776183
2019,69,20228.8332207
2019,70,19892.2251284
2019,71,18401.3491346
2019,72,16923.6043795
2019,73,16208.1120121
2019,74,15901.9299606
2019,75,15998.9730167
2019,76,16259.6761442
2019,77,16835.8492727
2019,78,18215.2698753
2019,79,20144.280855
2019,80,21334.099183
2019,81,21589.5796686
2019,82,21764.3786365
2019,83,22122.6240861
2019,84,21892.7665363
2019,85,21698.4203462
2019,86,21490.9024937
2019,87,21635.1077987
2019,88,22206.6005813
2019,89,23116.4246191
2019,90,23069.0240505
2019,91,22415.0243127
2019,92,21294.385193
2019,93,20634.3002471
2019,94,20118.9792001
2019,95,18655.3265059
2019,96,17449.8147464
2019,97,16664.8228966
2019,98,16283.0561545
2019,99,16219.6418802
2019,100,16505.9669368
2019,101,17132.1028267
2019,102,18243.1337231
2019,103,20119.2994742
2019,104,21182.9298018
2019,105,21495.6782762
2019,106,21644.0649087
2019,107,21787.2493655
2019,108,21504.4442168
2019,109,20843.2633158
2019,110,20590.039917
2019,111,20785.1712195
2019,112,21655.155219
2019,113,22478.7588611
2019,114,22236.9519061
2019,115,21378.6172846
2019,116,20102.9654944
2019,117,19365.3742133
2019,118,19075.5261415
2019,119,17710.5178739
2019,120,16379.1383882
2019,121,15497.4237565
2019,122,15045.5169837
2019,123,14965.4484556
2019,124,14985.9459988
2019,125,14647.4162618
2019,126,14262.1265045
2019,127,14991.7109328
2019,128,15926.9113413
2019,129,16714.3068536
2019,130,17223.8937235
2019,131,17517.7517782
2019,132,17242.4084617
2019,133,16612.770635
2019,134,16367.0178976
2019,135,16742.0081355
2019,136,17930.4504885
2019,137,19196.589756
2019,138,19212.2831875
2019,139,18656.6076023
2019,140,17489.2084622
2019,141,17027.0529178
2019,142,16986.6983797
2019,143,15786.3110059
2019,144,14562.543622
2019,145,13750.6487468
2019,146,13268.9564816
2019,147,13111.0613441
2019,148,13319.8800655
2019,149,13082.8772222
2019,150,12540.6531497
2019,151,13031.3130901
2019,152,13886.1246964
2019,153,14774.9251511
2019,154,15138.2597311
2019,155,15857.0003063
2019,156,15639.9987484
2019,157,14737.853704
2019,158,14759.0983627
2019,159,15214.1124318
2019,160,16428.7062222
2019,161,18357.7918553
2019,162,18954.1422528
2019,163,18628.1032063
2019,164,17905.8850826
2019,165,17642.9400362
2019,166,17857.2034175
2019,167,16587.3165613
2019,168,15345.293553
2019,169,14724.9225971
2019,170,14678.4828507
2019,171,14928.2966585
2019,172,15309.4228524
2019,173,16351.2745404
2019,174,18707.5311862
2019,175,21385.0227668
2019,176,22320.5434495
2019,177,21996.0807016
2019,178,21732.8549183
2019,179,21879.4770007
2019,180,21832.7695769
2019,181,21608.9708748
2019,182,21656.0121047
2019,183,21777.5113578
2019,184,22233.7578679
2019,185,23176.9564264
2019,186,23111.3002333
2019,187,22492.850922
2019,188,21069.552766
2019,189,20284.5609162
2019,190,19628.6395338
2019,191,17888.2700064
2019,192,16529.346947
2019,193,15892.3217372
2019,194,15669.731229
2019,195,15822.1817065
2019,196,16337.1824795
2019,197,17119.2918622
2019,198,19435.514244
2019,199,21779.2801994
2019,200,22778.2151563
2019,201,22594.5462764
2019,202,22680.8430729
2019,203,22806.1489696
2019,204,22466.904661
2019,205,21507.1111547
2019,206,21799.834855
2019,207,22298.88556
2019,208,22915.4294056
2019,209,23872.2715246
2019,210,23838.6427428
2019,211,23183.6821827
2019,212,21825.3996716
2019,213,20872.9044609
2019,214,20188.1584084
2019,215,18463.8025866
2019,216,17056.1978621
2019,217,16315.0835657
2019,218,16017.8691893
2019,219,16201.3862558
2019,220,16703.5760642
2019,221,17618.9194778
2019,222,19820.8040013
2019,223,22103.7178753
2019,224,22696.2249835
2019,225,20944.6304312
2019,226,20087.0346519
2019,227,19823.0587136
2019,228,19380.1303514
2019,229,19053.6207931
2019,230,19537.7744004
2019,231,20719.1146349
2019,232,22536.1889872
2019,233,23943.0521035
2019,234,23852.0942556
2019,235,23154.5372385
2019,236,21920.521083
2019,237,21189.9758323
2019,238,20464.5549675
2019,239,18678.0659679
2019,240,17654.4699043
2019,241,17053.6356692
2019,242,16832.3262574
2019,243,16979.9726233
2019,244,17233.9499945
2019,245,17971.5412756
2019,246,19957.2407732
2019,247,22210.6894289
2019,248,22875.5784865
2019,249,22430.1915604
2019,250,22271.1791652
2019,251,22388.2465085
2019,252,22299.0424582
2019,253,22277.1407479
2019,254,22580.72162
2019,255,23095.0885964
2019,256,23556.932036
2019,257,24526.9118106
2019,258,24199.5916676
2019,259,23480.8965592
2019,260,22225.101764
2019,261,21395.5918126
2019,262,20584.9780338
2019,263,19046.3811972
2019,264,17832.5423108
2019,265,17187.1899741
2019,266,16960.4359024
2019,267,17092.0685627
2019,268,17510.6668277
2019,269,18189.3276722
2019,270,20235.558977
2019,271,22520.3944957
2019,272,23097.8487206
2019,273,22414.9337165
2019,274,21753.9308738
2019,275,21548.0973163
2019,276,21169.0091519
2019,277,20163.3639949
2019,278,20379.2858418
2019,279,21186.8564399
2019,280,22344.0930875
2019,281,23555.5204274
2019,282,23434.1365387
2019,283,22660.3542829
2019,284,21269.7240863
2019,285,20473.8429167
2019,286,20100.7235757
2019,287,18809.6986281
2019,288,17677.5296404
2019,289,16907.2703997
2019,290,16445.1148554
2019,291,16460.8082869
2019,292,16585.0746426
2019,293,16435.1863579
2019,294,16421.4145711
2019,295,17480.240787
2019,296,18598.9582621
2019,297,19150.6914185
2019,298,19378.4420044
2019,299,19285.1161213
2019,300,18741.8463556
2019,301,17179.0259484
2019,302,16792.3034116
2019,303,17348.4638125
2019,304,18231.1962354
2019,305,19805.751118
2019,306,19977.7383164
2019,307,19285.9462334
2019,308,18042.6421286
2019,309,17473.5150307
2019,310,17573.7608279
2019,311,16504.0452921
2019,312,15402.9428933
2019,313,14757.5905565
2019,314,14593.2899368
2019,315,14630.4417339
2019,316,14921.5709021
2019,317,14752.7864449
2019,318,14246.7533471
2019,319,14691.6140894
2019,320,15399.7410503
2019,321,16124.9233869
2019,322,16450.9441241
2019,323,16603.9444104
2019,324,16016.6463336
2019,325,14404.3779933
2019,326,14301.2307979
